,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.89,0.96,0.9,0.39,0.07,0.82,0.61,0.86,0.93,0.72,1.0,1.0,0.84
empserver.csv,0.91,0.5,0.85,0.71,0.98,0.96,0.99,0.74,0.62,0.56,0.87,0.89,0.93
emulemorph.csv,1.0,1.0,1.0,0.98,1.0,1.0,0.81,0.59,1.0,0.96,1.0,1.0,0.75
google-web-toolkit.csv,0.91,0.76,0.57,0.74,1.25,0.59,0.9,0.62,0.73,0.74,0.95,0.6,0.47
htmlunit.csv,0.83,0.54,0.45,0.61,0.18,0.42,0.3,0.58,0.66,0.74,0.51,0.81,0.73
jaxen.csv,0.79,0.81,0.71,0.88,0.29,0.65,0.1,0.89,0.87,0.94,0.77,0.97,0.73
jguard.csv,0.87,1.0,0.91,0.97,0.91,0.93,0.94,0.99,0.43,1.0,0.72,0.53,0.69
kowari.csv,0.74,1.0,0.61,0.87,1.0,0.63,0.83,0.67,0.83,0.85,0.27,0.92,0.81
maidsafe-dht.csv,0.8,0.51,0.33,0.81,1.01,0.55,0.7,0.71,0.75,0.68,0.74,0.8,0.76
mimosa.csv,0.69,1.0,0.8,0.82,0.84,0.86,0.88,0.9,0.51,0.94,0.58,0.35,0.86
vdsf.csv,0.69,0.66,0.89,0.82,1.37,1.0,1.17,0.91,0.97,1.0,1.12,0.99,0.82
xbrlapi.csv,0.49,1.0,0.95,0.75,1.22,0.82,0.71,0.47,0.74,1.0,1.12,0.63,0.72
