,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.31,0.36,0.55,0.53,0.46,0.62,0.63,0.79,0.59,0.76,0.86
badtrinitycore.csv,0.0,0.5,0.63,0.66,0.78,0.0,0.89,0.85,0.98,0.6,0.88
boost.csv,0.32,0.42,0.44,0.46,0.48,0.5,0.65,0.52,0.56,0.49,0.58
electric-core.csv,0.32,0.46,0.58,0.46,0.44,0.6,0.44,0.44,0.46,0.43,0.54
java-gnome.csv,0.8,0.45,0.99,0.96,0.96,0.45,0.39,0.98,0.96,0.66,0.86
miranda-icq.csv,0.32,0.45,0.49,0.45,0.43,0.88,0.56,0.58,0.52,0.42,0.55
ofbiz.csv,0.32,0.45,0.4,0.41,0.54,0.71,0.41,0.47,0.55,0.46,0.48
olsrd.csv,0.31,0.33,0.41,0.44,0.45,0.71,0.37,0.4,0.49,0.37,0.39
opensim4opencog.csv,0.3,0.3,0.4,0.38,0.47,0.63,0.34,0.46,0.44,0.42,0.64
t-2.csv,0.45,0.51,0.53,0.45,0.77,0.93,0.41,0.76,0.58,0.66,0.49
xcf.csv,0.33,0.29,0.43,0.44,0.61,0.52,0.38,0.46,0.52,0.47,0.42
