,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.76,0.96,0.39,0.23,0.18,0.76,0.52,0.1,0.47,0.76,0.71
badtrinitycore.csv,0.0,0.5,0.32,0.36,0.11,0.0,0.22,0.16,0.46,0.8,0.75
boost.csv,0.53,0.93,0.23,0.13,0.16,0.0,0.25,0.15,0.55,0.71,0.52
electric-core.csv,0.59,0.82,0.4,0.18,0.17,0.88,0.27,0.13,0.43,0.65,0.54
java-gnome.csv,0.6,0.77,0.22,0.09,0.36,0.96,0.26,0.21,0.65,0.71,0.86
miranda-icq.csv,0.65,0.77,0.32,0.11,0.13,0.38,0.38,0.26,0.46,0.68,0.55
ofbiz.csv,0.61,0.76,0.19,0.1,0.11,0.67,0.26,0.15,0.4,0.78,0.7
olsrd.csv,0.58,0.93,0.24,0.17,0.16,0.53,0.27,0.14,0.47,0.74,0.56
opensim4opencog.csv,0.6,0.89,0.32,0.19,0.22,0.53,0.29,0.14,0.48,0.78,0.91
t-2.csv,0.59,0.75,0.2,0.13,0.09,0.5,0.22,0.33,0.33,0.84,0.56
xcf.csv,0.55,0.92,0.34,0.19,0.1,0.88,0.34,0.13,0.53,0.76,0.72
