,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.88,0.75,0.89,0.94,0.71,0.31,0.65,0.42,0.72,0.92,0.71,0.82
gamestone.csv,0.13,0.88,0.14,0.42,0.43,0.02,0.31,0.14,0.28,0.15,0.1,0.58
gbif-providertoolkit.csv,0.77,0.0,0.38,0.35,0.86,0.04,0.69,0.74,0.24,0.38,0.65,0.24
heekscad.csv,0.79,0.62,0.7,0.68,0.71,0.49,0.69,0.6,0.54,1.0,0.79,0.84
igarden.csv,0.53,0.5,0.29,0.65,0.21,0.29,0.31,0.11,0.15,0.77,0.38,0.53
levent.csv,0.32,0.12,0.0,0.0,0.79,0.71,0.04,0.0,0.0,0.0,0.0,0.0
libmesh.csv,0.36,0.0,0.29,0.29,0.21,0.0,0.65,0.55,0.26,0.08,0.35,0.09
openmsx.csv,0.9,0.88,0.23,0.84,0.71,0.88,0.73,0.54,0.35,0.15,0.54,0.0
pnotepad.csv,0.64,0.88,0.89,1.0,0.86,0.67,0.69,0.54,0.78,1.0,0.92,0.98
quark.csv,0.35,0.12,0.36,0.13,0.21,0.04,0.08,0.06,0.02,0.85,0.25,0.31
tango-cs.csv,0.9,0.75,0.93,1.0,0.86,0.31,0.85,0.95,0.86,1.0,0.56,0.64
xcsoar.csv,0.65,0.25,0.71,0.61,0.71,0.33,0.31,0.4,0.46,1.0,0.21,0.56
