,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.64,0.5,1.0,0.35,0.13,0.2,0.49,0.78,0.57,0.38,0.76,0.2,0.4,0.38
baadengine.csv,0.73,0.37,1.0,0.58,1.0,1.0,0.95,0.98,0.93,0.85,0.95,1.0,1.0,0.84
bnetd.csv,0.47,0.94,1.0,0.62,0.23,0.8,0.72,0.8,0.21,0.62,0.9,0.88,1.0,0.58
impala.csv,0.15,0.37,1.0,0.92,0.57,0.8,0.64,0.27,0.5,0.46,0.76,0.48,0.8,0.29
jaxen.csv,0.96,0.82,1.0,0.81,0.87,1.0,0.59,0.73,0.93,0.92,0.95,0.96,1.0,0.53
jgameai.csv,0.0,0.03,0.0,0.58,0.0,0.2,0.28,0.02,0.21,0.0,0.1,0.0,0.0,0.16
jparsec.csv,0.85,0.37,1.0,0.23,1.0,0.6,1.0,0.73,0.93,0.85,0.86,0.6,1.0,0.73
motu.csv,0.49,0.83,1.0,0.19,0.03,1.0,0.62,1.0,0.64,0.62,0.81,0.96,0.8,0.96
vars-redux.csv,0.44,0.18,1.0,0.23,0.8,1.0,0.64,0.73,0.5,0.69,0.62,0.88,1.0,0.73
werx.csv,0.98,0.96,1.0,1.0,1.0,1.0,0.87,0.82,1.0,0.92,0.95,0.96,1.0,1.0
wishmaster.csv,0.14,0.07,0.0,0.04,0.0,0.2,0.15,0.73,0.79,0.15,0.14,0.28,1.0,0.16
xreal.csv,0.06,0.1,0.0,0.15,0.03,0.0,0.13,0.1,0.0,0.08,0.0,0.52,1.0,0.04
zealos.csv,0.15,0.42,0.0,0.27,0.8,0.0,0.13,0.53,0.0,0.15,0.29,0.0,0.8,0.31
