,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.73,0.17,0.96,0.26,0.39,0.0,0.54,0.09,0.5,0.2,0.6,0.62,0.39,0.57,0.38,0.57
biodwh.csv,0.16,0.12,0.18,0.3,0.26,0.09,0.19,0.15,0.11,0.13,0.45,0.12,0.3,0.11,0.86,0.37
blue-c.csv,0.44,0.54,0.57,0.83,0.74,0.99,0.71,0.51,0.48,0.32,0.39,0.78,0.64,0.58,0.52,0.58
cities3d.csv,0.23,0.46,0.47,0.39,0.96,0.2,0.57,0.12,0.11,0.09,0.28,0.12,0.52,0.3,0.1,0.07
firebird.csv,0.49,0.96,0.55,0.62,0.62,0.45,0.61,0.46,0.48,0.38,0.61,0.67,0.51,0.53,0.66,0.43
jcache.csv,0.53,0.5,0.49,0.54,0.57,0.31,0.26,0.48,0.59,0.04,0.44,0.72,0.59,0.63,0.62,1.0
jparsec.csv,0.33,0.5,0.55,0.66,0.33,0.46,0.65,0.32,0.65,0.48,0.93,0.62,0.27,0.35,0.65,0.73
mscore.csv,0.71,0.59,0.61,0.58,0.73,0.53,0.64,0.99,0.37,0.31,0.58,0.74,0.69,0.57,0.49,0.4
nabu-library.csv,0.68,0.46,0.57,0.68,0.48,0.55,0.45,0.66,0.53,0.98,0.58,0.46,0.65,0.59,0.4,0.86
ns-3-dev-def-routing.csv,0.57,0.51,0.38,0.44,0.53,0.27,0.36,0.39,0.49,0.28,0.58,0.8,0.92,0.33,0.46,0.37
open-ms.csv,0.13,0.63,0.54,0.46,0.44,0.26,0.49,0.43,0.43,0.39,0.32,0.23,0.19,0.94,0.57,0.4
popeye-chess.csv,0.66,0.61,0.59,0.92,0.66,0.6,0.57,0.46,0.48,0.4,0.41,0.74,0.63,0.5,0.36,0.4
qgo.csv,1.0,0.57,0.54,0.58,0.75,0.34,0.53,0.63,0.66,0.24,0.48,0.59,0.57,0.58,0.52,0.61
webdriver.csv,0.63,0.58,0.55,0.55,0.67,0.68,0.97,0.58,0.49,0.26,0.35,0.58,0.61,0.5,0.46,0.41
xined.csv,0.13,0.34,0.44,0.37,0.4,0.12,0.51,0.24,0.27,0.05,0.3,0.92,0.31,0.19,0.48,0.23
yafdotnet.csv,0.54,0.57,0.6,0.27,0.63,0.5,0.68,0.6,0.99,0.3,0.35,0.63,0.56,0.65,0.6,0.72
