,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,kmess.csv,rocrail.csv
kmess.csv,0.28,0.19,0.03,0.3,0.45,0.36
minig.csv,0.88,0.67,0.27,0.95,0.96,0.62
ossbuild.csv,0.2,0.37,0.33,0.21,0.4,0.42
rezilla.csv,0.3,0.15,0.1,0.4,0.8,0.84
rocrail.csv,0.02,0.5,0.52,0.63,0.16,0.21
webdriver.csv,0.2,0.24,0.65,0.0,0.36,0.35
