,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.79,0.62,0.43,0.71,0.66
kmess.csv,0.21,0.47,0.07,0.0,0.7
minig.csv,1.0,0.53,0.65,0.09,0.7
rezilla.csv,0.68,0.18,0.26,0.04,0.77
webdriver.csv,0.21,0.69,0.67,0.58,0.58
