,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.43,0.57,0.47,0.72,0.47
kmess.csv,0.25,0.52,0.09,0.0,0.68
minig.csv,0.09,0.49,0.66,0.11,0.25
rezilla.csv,0.68,0.21,0.3,0.05,0.58
webdriver.csv,0.25,0.7,0.59,0.57,0.59
