,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,1.0,0.05,0.9,0.17,0.72,0.25,0.37,0.45,0.33,0.54,0.94
aztec.csv,0.14,0.2,0.09,0.39,0.13,0.49,0.46,0.05,0.0,0.15,0.83
bl-toolkit.csv,0.23,0.97,0.21,1.0,0.97,0.82,1.0,0.55,0.88,0.52,1.0
clamav.csv,0.23,0.69,0.96,0.17,0.59,0.4,0.17,0.39,0.64,0.64,0.46
fm-classic.csv,0.09,0.0,0.09,0.0,0.08,0.11,0.04,0.02,0.0,0.11,0.03
kml.csv,0.32,0.89,0.68,0.47,0.26,0.71,0.63,0.35,0.22,0.89,0.99
lufa-lib.csv,0.55,0.23,0.44,0.53,0.64,0.53,0.31,0.34,0.69,0.56,0.44
mplayer-ce.csv,0.41,0.33,0.99,0.06,0.23,0.65,0.33,0.52,0.33,0.66,0.35
qmmp.csv,0.23,0.59,0.37,0.31,0.36,0.8,0.72,0.18,0.16,0.61,0.91
xapian.csv,0.77,0.81,0.99,0.17,0.33,0.49,0.83,0.69,0.19,0.62,0.6
xtreemfs.csv,0.45,0.47,0.15,0.83,0.51,0.78,0.7,0.15,0.09,0.23,0.97
