,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.19,0.39,0.33,0.0,0.78,0.77,0.01,0.74,0.0,0.04,0.28,0.4,0.5
bibletime.csv,0.79,0.41,0.67,0.33,0.58,0.51,0.3,0.37,0.45,0.56,0.58,0.28,0.43
boost.csv,0.43,0.32,0.58,0.25,0.38,0.3,0.36,0.33,0.21,0.58,0.64,0.34,0.36
codepurge.csv,0.12,0.41,0.23,0.54,0.33,0.43,0.15,0.12,0.31,0.27,0.17,0.22,0.43
etics.csv,0.19,0.18,0.47,0.33,0.14,0.37,0.1,0.1,0.17,0.36,0.26,0.21,0.14
gusanos.csv,0.33,0.29,0.3,0.69,0.11,0.64,0.47,0.53,0.21,0.29,0.48,0.79,0.36
kvs.csv,0.31,0.24,0.07,0.29,0.2,0.19,0.07,0.33,0.38,0.33,0.71,0.01,0.29
mcore3d.csv,0.02,0.2,0.44,0.33,0.71,0.28,0.72,0.05,0.17,0.56,0.48,0.23,0.29
modellus.csv,0.12,0.2,0.35,0.54,0.07,0.23,0.2,0.44,0.41,0.24,0.38,0.7,0.36
monetdb.csv,0.02,0.15,0.33,0.07,0.08,0.25,0.22,0.25,0.0,0.33,0.55,0.32,0.07
projecteqemu.csv,0.5,0.12,0.28,0.53,0.04,0.35,0.13,0.2,0.24,0.31,0.88,0.14,0.36
pydev.csv,0.26,0.13,0.07,0.14,0.47,0.25,0.07,0.06,0.1,0.42,0.28,0.14,0.21
xbplayer.csv,0.1,0.39,0.25,0.33,0.14,0.15,0.17,0.53,0.14,0.62,0.67,0.45,0.21
