,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.54,0.68,0.43,0.0,0.75,0.94,0.06,0.89,0.0,0.33,0.36,0.38,0.8
bibletime.csv,0.85,0.65,0.81,0.69,0.65,0.68,0.6,0.5,0.64,0.78,0.72,0.42,0.73
boost.csv,0.85,0.56,0.72,0.74,0.45,0.53,0.69,0.69,0.54,0.83,0.78,0.54,0.7
codepurge.csv,0.46,0.46,0.31,0.79,0.25,0.6,0.24,0.17,0.6,0.39,0.33,0.62,0.23
etics.csv,0.92,0.39,0.62,0.71,0.15,0.66,0.49,0.28,0.55,0.72,0.22,0.29,0.61
gusanos.csv,0.69,0.47,0.42,0.9,0.35,0.81,0.74,0.62,0.76,0.56,0.69,0.88,0.7
kvs.csv,0.54,0.41,0.13,0.21,0.7,0.36,0.06,0.44,0.34,0.44,0.83,0.0,0.17
mcore3d.csv,0.15,0.35,0.7,0.57,0.8,0.51,0.71,0.12,0.37,0.69,0.64,0.38,0.44
modellus.csv,0.46,0.35,0.55,0.83,0.1,0.55,0.77,0.61,0.66,0.31,0.47,0.75,0.71
monetdb.csv,0.08,0.32,0.51,0.26,0.0,0.7,0.52,0.3,0.37,0.53,0.53,0.5,0.05
projecteqemu.csv,0.77,0.37,0.4,0.81,0.1,0.62,0.36,0.36,0.46,0.72,0.83,0.25,0.64
pydev.csv,0.69,0.33,0.2,0.33,0.65,0.55,0.14,0.19,0.18,0.58,0.75,0.33,0.53
xbplayer.csv,0.38,0.63,0.4,0.74,0.25,0.55,0.45,0.79,0.42,0.69,0.83,0.62,0.52
