,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.5,0.65,0.54,0.0,0.32,0.53,0.11,0.57,0.0,0.48,0.38,0.2,0.84
bibletime.csv,0.39,0.62,0.76,0.57,0.34,0.5,0.63,0.48,0.7,0.63,0.51,0.27,0.8
boost.csv,0.52,0.59,0.72,0.65,0.31,0.49,0.67,0.62,0.66,0.65,0.52,0.3,0.79
codepurge.csv,0.5,0.48,0.44,0.53,0.2,0.47,0.35,0.25,0.69,0.45,0.4,0.42,0.34
etics.csv,0.73,0.5,0.67,0.59,0.18,0.54,0.61,0.38,0.68,0.67,0.26,0.23,0.74
gusanos.csv,0.5,0.53,0.54,0.53,0.4,0.51,0.67,0.49,0.82,0.58,0.53,0.26,0.79
kvs.csv,0.42,0.49,0.23,0.23,0.57,0.41,0.1,0.44,0.46,0.48,0.52,0.0,0.27
mcore3d.csv,0.25,0.46,0.74,0.5,0.36,0.48,0.58,0.2,0.52,0.58,0.5,0.27,0.59
modellus.csv,0.5,0.46,0.64,0.56,0.15,0.54,0.78,0.52,0.72,0.38,0.43,0.25,0.8
monetdb.csv,0.13,0.43,0.61,0.37,0.0,0.63,0.6,0.35,0.54,0.54,0.41,0.29,0.09
projecteqemu.csv,0.45,0.49,0.53,0.55,0.16,0.52,0.48,0.42,0.59,0.68,0.47,0.24,0.74
pydev.csv,0.55,0.45,0.32,0.41,0.38,0.53,0.23,0.3,0.29,0.55,0.66,0.3,0.67
xbplayer.csv,0.45,0.62,0.52,0.6,0.28,0.59,0.56,0.59,0.57,0.56,0.54,0.29,0.66
