,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.47,0.63,0.73,0.0,0.2,0.37,0.83,0.42,0.0,0.86,0.41,0.13,0.88
bibletime.csv,0.25,0.6,0.72,0.49,0.23,0.39,0.67,0.45,0.77,0.53,0.39,0.2,0.89
boost.csv,0.38,0.63,0.72,0.57,0.24,0.45,0.66,0.56,0.86,0.54,0.39,0.21,0.9
codepurge.csv,0.55,0.51,0.75,0.4,0.17,0.39,0.62,0.47,0.82,0.54,0.5,0.32,0.71
etics.csv,0.6,0.67,0.74,0.5,0.21,0.46,0.82,0.61,0.88,0.62,0.31,0.19,0.95
gusanos.csv,0.39,0.61,0.75,0.38,0.47,0.38,0.62,0.41,0.89,0.61,0.43,0.16,0.9
kvs.csv,0.35,0.62,0.8,0.26,0.48,0.47,0.45,0.44,0.68,0.52,0.38,0.0,0.73
mcore3d.csv,0.67,0.64,0.77,0.44,0.23,0.46,0.5,0.58,0.83,0.5,0.41,0.21,0.88
modellus.csv,0.55,0.64,0.77,0.42,0.29,0.53,0.8,0.46,0.79,0.5,0.4,0.15,0.9
monetdb.csv,0.5,0.68,0.77,0.65,0.0,0.57,0.7,0.42,1.0,0.56,0.33,0.21,0.75
projecteqemu.csv,0.32,0.74,0.75,0.41,0.4,0.45,0.74,0.52,0.82,0.65,0.33,0.23,0.89
pydev.csv,0.45,0.7,0.86,0.52,0.27,0.51,0.67,0.64,0.8,0.52,0.59,0.28,0.92
xbplayer.csv,0.56,0.61,0.77,0.51,0.31,0.63,0.72,0.47,0.88,0.47,0.39,0.19,0.92
