,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.59,0.02,0.62,0.46,0.65,0.46,0.71,0.53,0.53,0.63,0.52
biopax.csv,0.69,0.59,0.75,0.7,0.49,0.6,0.71,0.81,0.04,1.0,0.91
crux-framework.csv,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
kml.csv,0.5,0.44,0.53,0.39,0.06,0.25,0.58,0.45,0.63,0.62,0.44
les-indemodables.csv,0.53,0.59,0.69,0.64,0.74,0.54,0.06,0.74,0.81,0.43,0.65
metacosm.csv,0.71,0.75,0.74,0.61,0.64,0.51,0.49,0.87,0.71,0.42,0.0
moviesandbox.csv,0.05,0.74,0.84,0.6,0.72,0.55,0.49,0.49,0.7,1.03,0.5
sigil.csv,0.54,0.36,0.65,0.42,0.89,0.02,0.54,0.31,0.52,0.65,0.51
unflobtactical.csv,0.7,0.64,0.66,0.03,0.59,0.47,0.59,0.38,0.63,0.69,0.49
xtreemfs.csv,0.72,0.48,0.59,0.38,0.46,0.51,0.61,0.03,0.53,0.61,0.55
yale.csv,0.73,0.97,0.18,0.81,0.97,0.91,0.76,0.82,1.17,0.68,0.79
