,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.41,0.56,0.72,0.44,0.69,0.46,0.55,0.54,0.68,0.47,0.47
biopax.csv,0.39,0.46,0.49,0.4,0.42,0.45,0.46,0.32,0.5,0.42,0.4
crux-framework.csv,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0
kml.csv,0.39,0.52,0.7,0.42,0.47,0.44,0.51,0.41,0.69,0.39,0.44
les-indemodables.csv,0.47,0.46,0.52,0.56,0.75,0.52,0.58,0.56,0.74,0.5,0.67
metacosm.csv,0.48,0.93,0.98,0.47,0.67,0.47,0.48,0.86,0.95,0.55,0.52
moviesandbox.csv,0.5,0.78,0.99,0.5,0.79,0.56,0.45,0.54,0.86,0.68,0.44
sigil.csv,0.38,0.52,0.88,0.42,0.86,0.47,0.53,0.41,0.63,0.42,0.43
unflobtactical.csv,0.39,0.68,0.78,0.47,0.65,0.45,0.51,0.39,0.68,0.51,0.41
xtreemfs.csv,0.4,0.43,0.46,0.4,0.48,0.48,0.44,0.34,0.61,0.41,0.39
yale.csv,0.69,0.54,0.99,0.55,0.45,0.69,0.74,0.53,0.54,0.93,0.67
