,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.76,0.46,0.84,0.74,0.69,0.56,0.72,0.51,0.68,0.57,0.51,0.57,0.35,0.71,0.72,0.43
autat.csv,0.21,0.0,0.44,0.0,0.18,0.38,0.56,0.65,0.75,0.47,0.22,0.17,0.51,0.74,0.35,0.0
biopax.csv,0.84,0.0,0.58,0.5,0.68,0.75,0.68,0.24,0.0,0.0,0.6,0.36,0.78,0.47,0.36,0.42
exl.csv,0.55,0.63,0.3,0.52,0.62,0.56,0.52,0.33,0.7,0.68,0.55,0.61,0.5,0.76,0.59,0.54
fceugc.csv,0.62,0.66,0.36,0.55,0.29,0.68,0.57,0.6,0.22,0.52,0.59,0.47,0.36,0.46,0.28,0.28
fido.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.23,0.97,0.05,0.0,0.29,0.0,0.18,0.53
gretl.csv,0.58,0.62,0.72,0.64,0.71,0.48,0.43,0.62,0.83,0.44,0.65,0.91,0.59,0.67,0.73,0.53
jasperreports.csv,0.17,0.61,0.26,0.0,0.6,0.46,0.48,0.05,0.94,0.29,0.05,0.13,0.22,0.56,0.48,0.0
jmule.csv,0.85,0.62,0.84,0.71,0.7,0.58,0.64,0.57,0.89,0.74,0.65,0.8,0.66,0.81,0.79,0.87
moast.csv,0.19,0.0,0.36,0.0,0.0,0.0,0.0,0.35,0.53,0.05,0.22,0.97,0.62,0.0,0.21,0.37
ng4j.csv,0.56,0.45,0.82,0.43,0.56,0.6,0.6,0.29,0.83,0.73,0.6,0.37,0.55,0.69,0.73,0.75
olap-navigator.csv,0.86,0.76,0.73,0.67,0.55,0.52,0.7,0.52,0.89,0.47,0.68,0.51,0.5,0.7,0.66,0.57
passwordsafe.csv,0.41,0.56,0.84,0.65,0.46,0.55,0.74,0.51,0.67,0.72,0.66,0.82,0.68,0.68,0.62,0.0
phonon-vlc-mplayer.csv,0.51,0.59,0.81,0.59,0.64,0.51,0.7,0.47,0.67,0.8,0.52,0.91,0.58,0.7,0.58,0.05
sepgsql.csv,0.62,0.81,0.66,0.69,0.51,0.43,0.69,0.61,0.72,0.69,0.58,0.92,0.47,0.78,0.59,0.1
unflobtactical.csv,0.7,0.68,0.83,0.7,0.47,0.57,0.7,0.53,0.4,0.42,0.72,0.61,0.78,0.68,0.67,0.05
