,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.49,0.12,0.55,0.53,0.24,0.34,0.77,0.76,0.4,0.39,0.62,0.57,0.6,0.27,0.68,0.18,0.75,0.39,0.39,0.64
decidr.csv,0.43,0.11,0.46,0.47,0.17,0.23,0.6,0.68,0.28,0.35,0.79,0.53,0.51,0.27,0.52,0.13,0.61,0.23,0.43,0.58
elmo.csv,0.46,0.08,0.75,0.52,0.44,0.32,0.56,0.5,0.22,0.18,0.64,0.67,0.62,0.43,0.06,0.18,0.68,0.38,0.31,0.56
gpac.csv,0.4,0.06,0.54,0.52,0.29,0.21,0.62,0.59,0.22,0.33,0.53,0.7,0.53,0.23,0.38,0.15,0.67,0.0,0.33,0.56
img-browse-sort.csv,0.69,0.07,0.67,0.81,0.27,0.38,0.87,0.75,0.54,0.59,0.71,0.67,0.7,0.29,0.65,0.19,0.85,0.5,0.47,0.86
jajuk.csv,0.5,0.07,0.44,0.79,0.21,0.31,0.67,0.73,0.4,0.51,0.58,0.54,0.57,0.27,0.59,0.16,0.84,0.37,0.39,0.72
ktc.csv,0.7,0.11,0.59,0.79,0.3,0.37,0.78,0.73,0.55,0.65,0.7,0.58,0.62,0.31,0.71,0.2,0.85,0.32,0.43,0.78
nativeclient.csv,0.53,0.09,0.51,0.62,0.21,0.33,0.83,0.73,0.44,0.46,0.6,0.64,0.65,0.32,0.53,0.13,0.72,0.35,0.37,0.76
neoengine.csv,0.57,0.08,0.56,0.64,0.23,0.29,0.76,0.69,0.42,0.48,0.64,0.57,0.56,0.31,0.67,0.14,0.83,0.43,0.42,0.63
nicepress.csv,0.51,0.08,0.38,0.53,0.22,0.35,0.65,0.66,0.42,0.65,0.62,0.54,0.49,0.24,0.68,0.18,0.6,0.27,0.44,0.6
omseek.csv,0.8,0.0,0.66,0.81,0.67,0.29,1.0,0.78,0.79,0.36,0.6,0.0,0.67,0.14,0.61,0.27,0.86,0.3,0.39,0.85
rosegarden.csv,0.59,0.12,0.46,0.64,0.21,0.29,0.88,0.74,0.57,0.47,0.59,0.65,0.64,0.38,0.53,0.16,0.71,0.31,0.38,0.64
sigil.csv,0.68,0.08,0.62,0.69,0.22,0.36,0.9,0.86,0.56,0.5,0.61,0.64,0.74,0.29,0.56,0.21,0.84,0.42,0.39,0.84
smarttag.csv,0.51,0.09,0.39,0.65,0.19,0.31,0.69,0.8,0.46,0.5,0.66,0.57,0.61,0.44,0.61,0.15,0.88,0.33,0.39,0.81
sylpheed-claws.csv,0.42,0.07,0.39,0.48,0.15,0.26,0.61,0.69,0.29,0.34,0.58,0.64,0.68,0.27,0.46,0.11,0.58,0.24,0.45,0.59
tango-cs.csv,0.41,0.14,0.51,0.61,0.18,0.29,0.63,0.73,0.29,0.37,0.72,0.56,0.47,0.27,0.59,0.13,0.82,0.21,0.54,0.6
vapor.csv,0.0,0.07,0.58,0.88,0.14,0.42,0.73,0.68,0.0,0.35,0.62,0.0,1.0,0.26,0.47,0.15,0.6,0.29,0.0,0.68
xemeiah.csv,0.61,0.11,0.42,0.47,0.35,0.33,0.89,0.74,0.46,0.44,0.6,0.61,0.54,0.24,0.69,0.22,0.8,0.29,0.42,0.84
zorannt.csv,0.5,0.12,0.68,0.72,0.38,0.28,0.82,0.75,0.37,0.33,0.67,0.59,0.6,0.3,0.52,0.18,0.93,0.43,0.38,0.63
zscreen.csv,0.51,0.17,0.52,0.5,0.19,0.38,0.87,0.85,0.4,0.38,0.59,0.67,0.61,0.35,0.53,0.17,0.79,0.22,0.42,0.65
