,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.0,5.0,0.0,0.0,0.0,37.0,57.0,0.0,3.0,0.0
fritzing.csv,0.0,4.0,0.0,3.0,0.0,61.0,2.0,1.0,3.0,5.0
jlinalg.csv,0.0,11.0,1.0,1.0,0.0,237.0,2.0,9.0,1.0,0.0
knowledge.csv,0.0,27.0,1.0,1.0,0.0,236.0,1.0,5.0,4.0,0.0
massiv.csv,63.0,141.0,0.0,140.0,66.0,0.0,57.0,65.0,55.0,123.0
multitude.csv,0.0,4.0,4.0,5.0,0.0,118.0,6.0,10.0,1.0,0.0
playerstage.csv,0.0,8.0,0.0,0.0,0.0,114.0,0.0,9.0,3.0,1.0
quarkplusplus.csv,0.0,9.0,1.0,0.0,0.0,172.0,1.0,6.0,0.0,0.0
rtrt-on-gpu.csv,0.0,15.0,0.0,3.0,0.0,99.0,0.0,6.0,3.0,0.0
superwaba.csv,0.0,0.0,0.0,2.0,0.0,178.0,3.0,2.0,0.0,0.0
