,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,1.0,29.0,1.0,0.0,6.0,2.0,1.0,0.0,2.0,0.0,168.0,0.0,2.0,1.0
bdbbasic.csv,0.0,45.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
echongl.csv,2.0,7.0,1.0,3.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0
etherboot.csv,105.0,3.0,411.0,70.0,0.0,0.0,99.0,0.0,1.0,136.0,0.0,119.0,342.0,1.0
ffigo.csv,3.0,12.0,1.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,168.0,1.0,1.0,1.0
freebios.csv,0.0,15.0,65.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,2.0,2.0,4.0,1.0
gebr.csv,0.0,45.0,1.0,2.0,0.0,5.0,1.0,0.0,9.0,0.0,3.0,2.0,4.0,1.0
gnukeda.csv,0.0,26.0,4.0,0.0,8.0,4.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0
gstreamer.csv,0.0,44.0,1.0,0.0,4.0,3.0,5.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0
jnode.csv,105.0,5.0,0.0,0.0,82.0,116.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,57.0
metacosm.csv,4.0,9.0,66.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0
openmeetings.csv,4.0,0.0,28.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0
pgui.csv,0.0,36.0,411.0,1.0,0.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0
wxcrp.csv,4.0,42.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0
