,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.69,0.97,0.63,0.74,0.89,0.61,0.5,0.0,0.91,0.69,0.5,0.94,0.92,0.82
bdbbasic.csv,0.4,0.55,0.57,0.39,0.57,0.29,0.92,0.87,0.46,0.29,0.79,0.39,0.65,0.47
echongl.csv,0.47,0.95,0.44,0.44,0.43,0.46,0.62,0.59,0.44,0.36,0.45,0.39,0.38,0.65
etherboot.csv,0.0,0.72,0.0,0.0,0.53,0.89,0.0,0.42,0.77,0.0,0.47,0.0,0.0,0.41
ffigo.csv,0.89,0.95,0.6,0.59,0.9,0.61,0.5,0.9,0.81,0.78,0.0,0.46,0.67,0.67
freebios.csv,0.57,0.96,0.73,0.64,0.76,0.93,0.64,0.84,0.68,0.62,0.8,0.57,0.99,0.83
gebr.csv,0.41,0.38,0.39,0.44,0.4,0.49,0.39,0.43,0.4,0.3,0.39,0.38,0.39,0.41
gnukeda.csv,0.43,0.47,0.63,0.54,0.44,0.39,0.57,0.53,0.88,0.47,0.73,0.5,0.98,0.43
gstreamer.csv,0.43,0.41,0.54,0.46,0.43,0.46,0.43,0.42,0.4,0.32,0.4,0.4,0.43,0.41
jnode.csv,0.5,0.67,0.79,0.57,0.83,0.67,0.86,0.79,0.83,0.9,0.67,0.86,0.91,0.0
metacosm.csv,0.92,0.4,0.42,0.56,0.8,0.47,0.67,0.55,0.44,0.39,0.43,0.44,0.4,0.42
openmeetings.csv,0.54,0.58,0.43,0.86,0.42,0.36,0.67,0.45,0.82,0.37,0.4,0.44,0.68,0.42
pgui.csv,0.58,0.5,0.5,0.73,0.58,0.47,0.55,0.72,0.53,0.42,0.63,0.71,0.92,0.41
wxcrp.csv,0.46,0.51,0.44,0.49,0.41,0.36,0.42,0.47,0.43,0.39,0.46,0.45,0.32,0.5
