,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.3,0.07,0.05,0.45,0.24,0.58,0.04,0.02,0.4,0.36,0.0,0.24,0.1,0.4
bdbbasic.csv,0.5,0.16,0.09,0.51,0.27,0.5,0.2,0.27,0.6,0.81,0.37,0.65,0.5,0.66
echongl.csv,0.43,0.33,0.08,0.51,0.42,0.49,0.35,0.49,0.53,0.88,0.47,0.64,0.67,0.56
etherboot.csv,0.0,0.59,0.0,0.0,0.42,0.26,0.0,0.75,0.5,0.0,0.55,0.0,0.0,0.64
ffigo.csv,0.15,0.24,0.08,0.46,0.13,0.46,0.08,0.11,0.4,0.38,0.0,0.75,0.02,0.07
freebios.csv,0.32,0.16,0.05,0.55,0.32,0.15,0.79,0.46,0.28,0.58,0.39,0.58,0.26,0.36
gebr.csv,0.46,0.25,0.07,0.71,0.45,0.48,0.66,0.79,0.44,0.83,0.45,0.77,0.73,0.64
gnukeda.csv,0.49,0.26,0.05,0.74,0.41,0.56,0.35,0.61,0.28,0.5,0.39,0.56,0.27,0.64
gstreamer.csv,0.49,0.2,0.04,0.59,0.38,0.48,0.47,0.67,0.47,0.8,0.43,0.7,0.72,0.64
jnode.csv,0.0,0.25,0.26,0.43,0.0,0.0,0.18,0.51,0.24,0.15,0.04,0.1,0.05,0.0
metacosm.csv,0.23,0.3,0.09,0.59,0.16,0.47,0.32,0.57,0.52,0.6,0.37,0.66,0.64,0.67
openmeetings.csv,0.54,0.62,0.12,0.3,0.4,0.52,0.08,0.58,0.47,0.66,0.48,0.61,0.47,0.55
pgui.csv,0.33,0.31,0.0,0.46,0.37,0.4,0.44,0.61,0.42,0.57,0.53,0.47,0.07,0.64
wxcrp.csv,0.49,0.16,0.06,0.56,0.42,0.48,0.47,0.81,0.41,0.75,0.43,0.59,0.72,0.56
