,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.03,0.14,0.0,0.0,0.17,0.04
codeblocks.csv,0.26,0.86,0.05,0.31,0.33,0.52
dataobjectsdotnet.csv,0.39,0.36,0.44,0.31,0.5,0.01
n2cms.csv,0.0,0.33,0.13,0.48,0.67,0.57
nug.csv,0.62,0.0,0.74,0.96,0.5,0.55
uclmda.csv,0.09,0.11,0.31,0.06,0.0,0.18
