,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.52,0.33,0.37,0.57,0.48,0.57,0.97,0.38,0.46,0.65,0.6,0.55,0.38,0.45
emeraldemu.csv,0.48,0.29,0.29,0.49,0.97,0.29,0.6,0.24,0.43,0.5,0.44,0.53,0.23,0.21
frogatto.csv,0.66,0.32,0.34,0.66,0.52,0.58,0.61,0.42,0.31,0.76,0.81,0.96,0.54,0.29
grafx2.csv,0.51,0.31,0.37,0.59,0.52,0.58,0.62,0.54,0.42,0.99,0.69,0.7,0.44,0.32
jahshakafx.csv,0.98,0.3,0.22,0.29,0.47,0.32,0.44,0.06,0.26,0.3,0.43,0.48,0.27,0.04
nassp.csv,0.34,0.3,0.37,0.38,0.41,0.33,0.46,0.49,0.92,0.61,0.33,0.48,0.49,0.37
netatalk.csv,0.62,0.33,0.31,0.46,0.58,0.49,0.55,0.39,0.56,0.62,0.64,0.51,1.0,0.23
open-beos.csv,0.56,0.25,0.35,0.53,0.45,0.96,0.47,0.36,0.57,0.46,0.5,0.52,0.35,0.23
psycle.csv,0.55,0.26,0.25,0.97,0.5,0.53,0.62,0.5,0.3,0.72,0.78,0.72,0.46,0.24
quantlib.csv,0.25,0.25,0.19,0.15,0.24,0.36,0.27,0.33,0.09,0.09,0.22,0.29,0.0,1.0
reaper-ecad.csv,0.36,0.11,0.98,0.59,0.33,0.38,0.32,0.12,0.5,0.27,0.59,0.43,0.49,0.13
sbml.csv,0.61,0.26,0.38,0.67,0.56,0.58,0.6,0.57,0.46,0.47,0.99,0.67,0.41,0.36
unimrcp.csv,0.44,0.29,0.18,0.37,0.42,0.23,0.48,0.94,0.48,0.43,0.42,0.53,0.42,0.13
unladen-swallow.csv,0.1,0.63,0.07,0.6,0.3,0.38,0.18,0.17,0.0,0.35,0.45,0.44,0.22,0.4
