,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.57,0.67,0.54,0.45,0.61,0.57,0.96,0.44,0.67,0.79,0.51,0.5,0.43,0.58
emeraldemu.csv,0.8,0.46,0.42,0.36,0.95,0.19,0.71,0.22,0.67,0.35,0.33,0.39,0.21,0.21
frogatto.csv,0.91,0.88,0.79,0.55,0.8,0.7,0.69,0.67,0.75,0.72,0.84,0.92,0.71,0.54
grafx2.csv,0.61,0.72,0.79,0.46,0.66,0.59,0.69,0.81,0.75,0.98,0.62,0.69,0.43,0.54
jahshakafx.csv,0.96,0.42,0.21,0.18,0.41,0.22,0.31,0.04,0.25,0.19,0.28,0.36,0.29,0.04
nassp.csv,0.28,0.49,0.5,0.24,0.45,0.21,0.35,0.63,0.92,0.47,0.2,0.42,0.64,0.29
netatalk.csv,0.66,0.74,0.62,0.33,0.57,0.4,0.49,0.37,0.75,0.51,0.51,0.42,1.0,0.21
open-beos.csv,0.67,0.46,0.54,0.4,0.57,0.95,0.41,0.59,0.67,0.51,0.38,0.42,0.29,0.29
psycle.csv,0.86,0.8,0.92,0.95,0.82,0.68,0.76,1.0,0.58,0.79,0.82,0.78,0.86,0.54
quantlib.csv,0.17,0.26,0.17,0.08,0.18,0.26,0.18,0.22,0.08,0.05,0.13,0.17,0.0,1.0
reaper-ecad.csv,0.34,0.17,1.0,0.53,0.39,0.4,0.27,0.11,0.75,0.23,0.53,0.44,0.79,0.12
sbml.csv,0.81,0.78,0.92,0.6,0.81,0.7,0.63,0.78,0.92,0.33,0.97,0.69,0.79,0.62
unimrcp.csv,0.38,0.35,0.17,0.23,0.31,0.14,0.39,0.89,0.5,0.28,0.26,0.39,0.29,0.08
unladen-swallow.csv,0.07,0.58,0.17,0.62,0.36,0.46,0.1,0.26,0.0,0.3,0.38,0.5,0.36,0.75
