,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.33,0.6,0.4,1.0,0.04,1.0,0.33,0.75,0.85,0.53
ibatisdb.csv,0.21,0.06,0.2,0.17,0.08,0.82,0.29,0.54,0.12,1.0
jmol.csv,0.2,0.09,0.16,0.28,0.02,1.0,0.59,0.8,0.25,0.34
liferea.csv,0.2,0.15,0.17,1.0,0.02,0.89,0.58,0.87,0.29,0.25
log4net.csv,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
pclasses.csv,1.0,0.1,0.12,0.0,0.0,1.0,0.29,0.0,0.06,0.04
psrchive.csv,0.11,0.5,1.0,0.0,0.0,0.9,0.56,0.83,0.44,0.04
re2c.csv,0.18,1.0,0.32,0.25,0.0,0.79,0.52,0.61,0.32,0.3
tycho.csv,0.0,0.29,0.19,0.17,0.03,0.85,1.0,0.78,0.39,0.25
xfce.csv,0.12,0.1,0.19,0.26,0.03,0.83,0.57,0.97,0.22,0.24
