,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.04,0.04,0.04,0.0,0.18,0.0,0.21,0.18,0.03,0.19
ibatisdb.csv,0.27,0.31,0.16,0.34,0.08,0.22,0.54,0.27,0.32,0.0
jmol.csv,0.14,0.59,0.64,0.66,0.47,0.0,0.39,0.36,0.45,0.58
liferea.csv,0.21,0.22,0.27,0.0,0.31,0.35,0.39,0.12,0.26,0.36
log4net.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.0,0.18,0.19,0.0,0.27,0.0,0.18,0.0,0.23,0.22
psrchive.csv,0.14,0.04,0.0,0.09,0.23,0.04,0.14,0.13,0.04,0.24
re2c.csv,0.32,0.0,0.28,0.14,0.31,0.22,0.75,0.16,0.14,0.51
tycho.csv,0.14,0.2,0.17,0.45,0.44,0.35,0.0,0.38,0.21,0.88
xfce.csv,0.82,0.84,0.67,0.7,0.76,0.87,0.79,0.08,0.69,0.82
