,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.09,0.5,0.14,0.15,0.33,0.2,0.09,0.25,0.77,0.64
ibatisdb.csv,0.36,0.17,0.21,0.23,0.33,0.23,0.17,0.14,0.2,0.97
jmol.csv,0.18,0.5,0.64,0.85,0.33,1.0,0.46,0.64,0.67,0.86
liferea.csv,0.27,0.33,0.29,1.0,0.33,0.63,0.43,0.36,0.47,0.36
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,1.0,0.17,0.14,0.0,0.0,0.04,0.06,0.0,0.07,0.03
psrchive.csv,0.09,0.33,0.93,0.0,0.0,0.09,0.14,0.28,0.13,0.03
re2c.csv,0.36,1.0,0.71,0.15,0.0,0.19,0.66,0.11,0.3,0.64
tycho.csv,0.0,0.67,0.21,0.31,0.67,0.45,1.0,0.59,0.6,0.86
xfce.csv,0.55,0.83,0.86,0.85,1.0,0.96,0.83,0.98,0.87,0.75
