,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.91,0.5,0.86,0.85,0.69,0.8,0.94,0.77,0.24,0.41
ibatisdb.csv,0.69,0.89,0.8,0.84,0.67,0.8,0.99,0.9,0.86,0.03
jmol.csv,0.83,0.77,0.73,0.68,0.82,0.0,0.67,0.51,0.56,0.6
liferea.csv,0.76,0.7,0.76,0.0,0.73,0.51,0.69,0.65,0.59,0.73
log4net.csv,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0
pclasses.csv,0.0,0.85,0.88,1.0,1.04,0.96,0.96,1.0,0.96,1.0
psrchive.csv,0.92,0.67,0.07,1.0,1.03,0.91,0.87,0.74,0.87,1.0
re2c.csv,0.71,0.0,0.4,0.86,1.05,0.84,0.82,0.9,0.71,0.63
tycho.csv,1.01,0.39,0.8,0.83,0.55,0.65,0.0,0.56,0.45,0.89
xfce.csv,0.94,0.86,0.68,0.72,0.76,0.87,0.8,0.08,0.7,0.86
