,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,1.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0
ibatisdb.csv,1.0,0.0,5.0,4.0,6.0,0.0,0.0,0.0,30.0,0.0
jmol.csv,6.0,4.0,26.0,6.0,34.0,0.0,0.0,0.0,17.0,21.0
liferea.csv,7.0,0.0,12.0,0.0,14.0,0.0,0.0,1.0,7.0,5.0
log4net.csv,66.0,56.0,88.0,56.0,0.0,123.0,62.0,250.0,161.0,140.0
pclasses.csv,0.0,3.0,6.0,56.0,133.0,0.0,0.0,250.0,21.0,18.0
psrchive.csv,5.0,0.0,0.0,56.0,133.0,1.0,0.0,1.0,1.0,25.0
re2c.csv,2.0,0.0,4.0,2.0,133.0,0.0,0.0,3.0,1.0,9.0
tycho.csv,66.0,0.0,5.0,5.0,24.0,0.0,0.0,1.0,1.0,16.0
xfce.csv,18.0,0.0,3.0,12.0,35.0,1.0,0.0,0.0,9.0,10.0
