,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.67,0.8,0.8,0.5,0.88,0.85,0.89,0.82,0.96,0.86
ibatisdb.csv,0.95,0.88,0.93,0.83,0.92,0.89,0.95,0.98,0.94,0.8
jmol.csv,0.9,0.39,0.44,0.45,0.48,0.38,0.67,0.41,0.46,0.43
liferea.csv,0.67,0.54,0.79,0.77,0.51,0.36,0.5,0.56,0.58,0.49
log4net.csv,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.91,0.9,0.94,0.0,0.97,0.75,0.86,0.0,0.97,0.96
psrchive.csv,0.89,0.75,0.92,0.75,0.97,0.9,0.89,0.71,0.89,0.96
re2c.csv,0.59,0.83,0.55,0.88,0.93,0.96,0.57,0.97,0.96,0.6
tycho.csv,0.88,0.86,0.94,0.5,0.51,0.55,0.54,0.45,0.67,0.46
xfce.csv,0.48,0.4,0.45,0.4,0.45,0.33,0.41,0.48,0.48,0.45
