,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.09,0.12,0.16,0.11,0.23,0.08,0.2,0.5,0.0,0.09,0.26,0.54,0.19,0.34,0.68,0.21,0.38
beast-mcmc.csv,0.09,0.81,0.24,0.68,0.88,0.72,0.35,1.0,0.0,0.39,0.33,0.89,0.78,0.74,1.0,0.83,0.81
bscwweasel.csv,0.0,0.6,0.15,0.23,0.4,0.0,0.25,0.38,0.0,0.12,0.53,0.11,0.71,0.24,0.02,0.21,0.54
codeblocks.csv,0.7,0.62,0.12,0.37,0.51,0.46,0.43,0.5,0.42,0.14,0.2,0.77,0.39,0.78,0.93,0.17,0.42
gamestone.csv,0.02,0.15,0.43,0.36,0.33,0.05,0.19,0.25,0.0,0.21,0.49,0.03,0.33,0.13,0.04,0.17,0.46
iaml.csv,0.02,0.13,0.41,0.11,0.14,0.1,0.43,0.25,0.42,0.45,0.31,0.06,0.28,0.14,0.04,0.67,0.69
jbasic.csv,0.76,0.21,0.62,0.5,0.6,0.13,0.27,1.0,0.0,0.38,0.49,0.77,0.97,0.88,0.51,0.75,0.85
modplug.csv,0.76,0.96,0.74,0.94,0.88,0.56,0.91,0.75,1.0,0.47,0.86,1.0,0.91,1.0,0.99,0.29,0.73
pdfedit.csv,0.67,0.12,0.44,0.18,0.33,0.49,0.14,0.5,0.08,0.83,0.38,0.71,0.26,0.5,0.26,0.29,0.46
redshell.csv,0.89,0.67,0.56,0.74,0.51,0.9,0.72,0.38,0.08,0.33,0.67,0.74,0.77,0.49,0.95,0.75,0.58
sabbu.csv,0.22,0.13,0.43,0.36,0.44,0.28,0.07,0.5,0.08,0.74,0.44,0.51,0.55,0.32,0.47,0.54,0.73
silvertree.csv,0.04,0.58,0.35,0.64,0.63,0.44,0.48,0.75,0.08,0.61,0.35,0.31,0.78,0.51,0.68,0.79,0.73
t-2.csv,0.89,0.85,0.51,0.74,0.86,0.87,0.47,0.75,0.92,0.14,0.44,0.8,0.18,0.56,0.63,0.92,0.31
xinity.csv,0.81,0.63,0.51,0.35,0.4,0.69,0.72,0.5,0.67,0.83,0.41,0.54,0.97,0.39,0.37,0.75,0.38
xreal.csv,0.07,0.19,0.45,0.23,0.26,0.21,0.35,0.12,0.42,0.77,0.35,0.17,0.13,0.02,0.08,0.67,0.42
zabbix.csv,0.17,0.21,0.28,0.5,0.49,0.23,0.09,0.38,0.0,0.48,0.45,0.43,0.2,0.37,0.14,0.46,0.81
zengine.csv,0.65,0.88,0.93,0.96,0.95,0.95,0.97,1.0,0.0,1.0,0.76,1.0,0.99,0.93,0.81,1.0,0.96
