,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.59,0.47,0.51,0.77,0.94,0.05,0.44,0.86,0.73,0.61,0.58,0.56,1.01,0.62,0.81,0.67,0.74
codepurge.csv,0.69,0.45,0.89,0.9,0.87,0.78,0.15,0.85,0.81,0.79,0.83,0.86,0.97,0.04,0.75,0.71,0.86
fontforge.csv,0.81,0.58,0.81,0.86,0.84,0.76,0.19,0.08,0.8,0.67,0.89,0.95,0.95,0.84,0.83,0.88,0.88
glas.csv,0.72,0.69,0.78,0.72,0.61,0.56,1.04,0.6,0.54,0.71,0.82,0.59,0.05,0.8,0.77,0.77,0.73
gmerlin.csv,0.65,0.62,0.77,0.87,0.69,0.7,1.03,0.68,0.53,0.61,0.64,0.53,0.93,0.6,0.89,0.16,0.81
hatari.csv,0.6,0.55,0.14,0.61,0.67,0.56,0.5,0.77,0.67,0.86,0.46,0.82,0.58,0.66,0.73,0.63,0.68
jcl.csv,0.98,0.94,0.97,0.85,1.0,0.96,1.01,1.0,1.01,0.91,0.99,0.78,1.0,0.91,0.14,0.95,1.01
ltp.csv,0.83,0.83,0.84,0.85,0.01,0.94,0.15,0.92,0.67,0.92,0.96,0.91,0.95,0.88,0.79,0.88,0.83
mia.csv,0.88,0.52,0.85,0.89,0.88,0.78,1.02,0.85,0.97,0.73,0.86,0.11,1.0,0.89,0.84,0.77,0.88
net-snmp.csv,0.02,0.61,0.82,0.67,0.65,0.6,0.31,0.88,0.7,0.6,0.48,0.72,0.89,0.83,0.68,0.65,0.65
opde.csv,0.85,0.64,0.9,0.04,0.61,0.74,1.03,0.92,0.74,0.9,0.7,0.86,0.82,0.7,0.84,0.65,0.78
oppna-program-hsatools.csv,0.81,0.95,0.97,0.97,0.97,0.84,1.0,1.0,0.91,0.93,0.04,1.0,0.87,0.65,0.88,0.86,0.9
powerfolder-.csv,0.81,0.0,0.97,0.96,0.9,0.82,1.0,0.66,1.0,0.86,0.89,0.78,1.0,0.96,0.63,0.88,1.01
qlc.csv,0.89,0.97,1.0,0.92,0.99,0.97,1.0,0.73,0.17,0.8,0.99,1.0,0.97,1.0,0.93,0.88,1.01
quantlib.csv,0.98,0.57,0.73,0.79,0.7,0.81,0.15,0.8,0.9,0.83,0.94,0.52,0.72,0.63,0.94,0.91,0.0
tcl.csv,0.71,0.74,0.8,0.67,0.68,0.67,0.35,0.59,0.7,0.0,0.81,0.99,0.7,0.55,0.57,0.69,0.77
