,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.51,0.68,0.59,0.32,0.17,0.95,1.0,0.71,0.33,0.54,0.46,0.5,0.0,0.5,0.21,0.44,0.29
codepurge.csv,0.34,0.65,0.14,0.2,0.86,0.23,1.0,0.21,0.22,0.74,0.17,0.17,0.03,0.96,0.29,0.31,0.17
fontforge.csv,0.22,0.58,0.21,0.16,0.55,0.26,1.0,0.92,0.22,0.85,0.11,0.06,0.05,0.17,0.21,0.12,0.12
glas.csv,0.34,0.71,0.24,0.32,0.71,0.68,0.0,0.75,0.56,0.31,0.4,0.5,0.95,0.25,0.79,0.28,0.33
gmerlin.csv,0.39,0.61,0.24,0.16,0.42,0.36,0.0,0.79,0.61,0.54,0.38,0.61,0.08,0.42,0.79,0.84,0.21
hatari.csv,0.68,0.71,0.86,0.64,0.78,0.62,1.0,0.71,0.72,0.69,0.65,0.72,0.46,0.38,0.86,0.5,0.42
jcl.csv,0.02,0.06,0.03,0.16,0.0,0.05,0.0,0.0,0.0,0.1,0.01,0.22,0.0,0.12,0.86,0.06,0.0
ltp.csv,0.2,0.26,0.17,0.16,1.0,0.06,1.0,0.08,0.33,0.08,0.04,0.11,0.05,0.12,0.21,0.12,0.17
mia.csv,0.17,0.61,0.17,0.12,0.13,0.42,0.0,0.21,0.06,0.49,0.77,0.89,0.0,0.12,0.64,0.34,0.12
net-snmp.csv,1.0,0.42,0.21,0.36,0.6,0.5,1.0,0.75,0.39,0.67,0.54,0.33,0.11,0.21,0.79,0.38,0.38
opde.csv,0.88,0.48,0.86,0.96,0.63,0.35,0.0,0.08,0.39,0.13,0.49,0.17,0.19,0.54,0.86,0.62,0.38
oppna-program-hsatools.csv,0.95,1.0,1.0,0.84,0.98,0.95,1.0,1.0,0.89,0.97,1.0,0.94,0.86,0.92,0.79,0.75,0.96
powerfolder-.csv,0.2,1.0,0.03,0.04,0.12,0.21,0.0,0.38,0.0,0.15,0.39,0.22,0.0,0.04,0.57,0.12,0.0
qlc.csv,0.12,0.03,0.0,0.08,0.01,0.03,0.0,0.29,0.83,0.21,0.02,0.0,0.03,0.0,0.07,0.12,0.0
quantlib.csv,0.02,0.65,0.38,0.36,0.76,0.74,1.0,0.42,0.11,0.69,0.79,0.5,0.3,0.38,0.93,0.09,1.0
tcl.csv,0.37,0.48,0.24,0.6,0.71,0.44,1.0,0.58,0.61,1.0,0.22,0.17,0.35,0.54,0.57,0.44,0.38
