,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.51,0.83,0.51,0.7,0.32,0.71,0.9,0.13,0.23,0.83,0.11,1.0,0.61,0.11
cme.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.83
hydrate.csv,0.52,0.79,0.55,0.0,0.29,0.0,0.0,0.41,0.43,0.67,0.14,1.0,0.69,0.0
ivef-sdk.csv,0.65,0.93,0.54,0.68,0.3,1.0,0.24,1.0,0.28,0.5,0.0,0.87,0.0,0.11
jmri.csv,0.88,0.95,0.63,0.36,0.12,0.97,0.46,0.41,0.5,0.57,0.2,0.92,0.67,0.1
jython.csv,0.7,0.83,0.7,0.66,0.18,0.74,0.49,0.43,0.4,0.62,0.14,0.89,0.62,0.11
kdenlive.csv,0.82,0.91,0.53,0.4,0.37,0.37,0.41,0.13,0.37,0.5,0.14,0.95,0.69,0.14
opentibia.csv,0.71,0.96,0.51,0.67,0.33,0.75,0.5,0.32,0.0,0.25,0.15,1.0,0.64,0.0
projectfactory.csv,0.83,1.0,0.53,0.33,0.5,0.57,0.47,0.12,0.33,0.55,0.2,0.95,0.74,0.17
runuomondains.csv,0.83,0.97,0.53,0.33,0.27,0.31,0.45,0.4,0.43,0.48,0.41,1.0,0.62,0.08
somap.csv,0.64,0.87,0.46,0.62,0.39,0.57,0.5,0.12,0.24,0.45,0.11,1.0,0.63,0.11
taverna.csv,0.91,0.93,0.5,0.5,0.52,0.71,0.54,0.02,0.33,0.52,0.0,1.0,0.0,0.0
unbvision.csv,0.76,0.94,0.59,0.35,0.28,0.69,0.38,0.12,0.55,0.56,0.16,0.92,0.69,0.09
x-ray-mule.csv,0.62,0.9,0.37,0.79,0.32,0.0,0.22,0.5,0.24,0.48,0.0,0.92,0.67,0.14
