,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.23,0.99,0.69,0.28,0.24,0.37,0.51,0.35,0.79,0.53,0.38,0.19,0.85
bibletime.csv,0.24,0.55,0.71,0.34,0.22,0.38,0.5,0.4,0.77,0.47,0.37,0.1,1.0
boost.csv,0.23,0.5,0.62,0.32,0.23,0.33,0.51,1.0,0.69,0.46,0.36,0.15,0.85
codepurge.csv,0.45,0.72,0.69,0.35,0.33,0.58,0.67,0.42,0.9,0.6,0.33,1.0,0.82
etics.csv,1.0,0.55,0.78,0.36,0.16,0.4,0.52,0.45,0.73,0.48,0.36,0.21,0.83
gusanos.csv,0.32,0.62,0.77,0.41,0.29,0.43,0.61,0.44,0.99,0.52,0.38,0.21,0.83
kvs.csv,0.36,0.55,0.59,0.35,1.0,0.47,0.75,0.5,0.64,0.52,0.31,0.17,1.0
mcore3d.csv,0.27,0.47,0.98,0.41,0.32,0.3,0.52,0.43,0.71,0.45,0.4,0.14,0.89
modellus.csv,0.45,0.66,0.81,0.4,0.6,0.48,1.0,0.56,1.0,0.4,0.46,0.23,0.93
monetdb.csv,0.18,0.59,0.64,0.34,0.24,1.0,0.6,0.4,0.67,0.56,0.48,0.18,0.79
projecteqemu.csv,0.5,0.64,0.72,0.42,0.43,0.6,0.75,0.52,0.75,1.0,0.45,0.5,0.91
pydev.csv,0.44,0.48,0.52,0.26,0.21,0.32,0.64,0.44,0.61,0.44,1.0,0.22,0.77
xbplayer.csv,0.56,0.73,0.7,1.0,0.3,0.61,0.79,0.44,0.86,0.7,0.43,0.24,0.93
