,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.36,0.98,0.62,0.28,0.36,0.5,0.51,0.37,0.66,0.62,0.48,0.3,0.75
bibletime.csv,0.38,0.68,0.75,0.48,0.34,0.5,0.64,0.55,0.74,0.57,0.52,0.17,1.0
boost.csv,0.36,0.61,0.65,0.44,0.36,0.48,0.63,0.99,0.78,0.61,0.49,0.24,0.83
codepurge.csv,0.42,0.27,0.16,0.36,0.25,0.52,0.13,0.13,0.41,0.43,0.17,0.98,0.23
etics.csv,0.96,0.65,0.73,0.51,0.24,0.55,0.61,0.56,0.75,0.56,0.49,0.21,0.81
gusanos.csv,0.4,0.55,0.66,0.53,0.41,0.48,0.66,0.48,0.99,0.6,0.48,0.33,0.7
kvs.csv,0.33,0.39,0.14,0.4,1.0,0.47,0.44,0.14,0.42,0.49,0.16,0.07,0.24
mcore3d.csv,0.36,0.52,0.99,0.53,0.43,0.4,0.57,0.45,0.62,0.5,0.53,0.22,0.73
modellus.csv,0.42,0.4,0.46,0.41,0.24,0.47,0.97,0.34,0.32,0.29,0.47,0.16,0.35
monetdb.csv,0.24,0.54,0.55,0.42,0.3,0.96,0.54,0.44,0.65,0.62,0.5,0.25,0.47
projecteqemu.csv,0.43,0.46,0.35,0.53,0.22,0.51,0.44,0.36,0.48,0.99,0.5,0.2,0.47
pydev.csv,0.48,0.26,0.2,0.26,0.28,0.34,0.56,0.35,0.36,0.44,0.99,0.19,0.25
xbplayer.csv,0.45,0.36,0.39,0.99,0.33,0.4,0.5,0.33,0.62,0.54,0.38,0.32,0.32
