,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.57,0.69,0.76,0.42,0.52,0.47,0.45,0.51,0.43,0.89,0.88,0.66,0.47,0.51,0.5,0.74,0.38
biopax.csv,0.43,0.44,0.42,0.36,0.44,0.39,0.4,0.44,0.42,0.44,0.37,0.5,0.41,0.41,0.37,0.49,0.41
ffigo.csv,0.45,0.52,0.7,0.44,0.56,0.68,0.44,0.4,0.45,0.64,0.92,0.6,0.47,0.48,0.45,0.66,0.62
freebios.csv,0.74,0.97,0.64,0.56,0.96,0.98,0.83,0.8,0.73,0.91,0.97,0.85,0.67,0.77,0.9,0.67,0.61
glelite.csv,0.39,0.41,0.39,0.36,0.46,0.38,0.43,0.4,0.43,0.4,0.39,0.49,0.37,0.38,0.37,0.42,0.41
gnupdate.csv,0.57,0.99,0.56,0.44,0.95,0.68,0.51,0.59,0.58,0.97,0.81,0.69,0.51,0.65,0.85,0.67,0.49
go.csv,0.44,0.47,0.45,0.38,0.61,0.44,0.4,0.51,0.43,0.48,0.57,0.52,0.43,0.44,0.4,0.55,0.4
gstreamer.csv,0.44,0.58,0.66,0.49,0.57,0.47,0.49,0.47,0.59,0.67,0.44,0.6,0.48,0.46,0.42,0.81,0.49
metacosm.csv,0.84,0.82,0.91,0.59,0.93,0.98,0.85,0.96,0.64,0.9,0.67,0.89,0.72,0.82,0.91,0.65,0.54
pcsx2.csv,0.43,0.58,0.54,0.62,0.59,0.45,0.45,0.47,0.49,0.71,0.9,0.65,0.61,0.51,0.63,0.79,0.42
pgui.csv,0.65,0.99,0.89,0.52,0.93,0.66,0.69,0.74,0.54,0.82,0.92,0.71,0.95,0.94,0.67,0.64,0.48
qse.csv,0.73,0.83,0.88,0.93,0.76,0.83,0.52,0.68,0.51,0.53,0.89,0.6,0.74,0.58,0.52,0.76,0.63
rebecca-aiml.csv,0.71,0.99,0.87,0.69,0.92,0.6,0.95,0.98,0.67,0.66,0.96,0.94,0.82,0.84,0.86,0.65,0.65
skia.csv,0.62,0.66,0.79,0.94,0.81,0.67,0.92,0.65,0.6,0.94,0.73,0.95,0.83,0.97,0.61,0.7,0.75
vars-redux.csv,0.95,0.99,0.79,0.52,0.93,0.8,0.51,0.74,0.89,0.76,0.88,0.95,0.82,0.91,0.83,0.78,0.56
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.88,0.0,0.0,0.67,0.0,0.0,0.0
yale.csv,0.53,0.99,0.55,0.51,0.9,0.5,0.66,0.69,0.71,0.7,0.56,0.7,0.55,0.72,0.49,0.55,0.72
