,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.62,0.25,0.37,0.79,0.84,0.35,0.5,0.11,0.06,0.15,0.28,0.54,0.73,0.7
exordium.csv,0.75,0.08,0.22,0.05,0.23,0.33,0.1,0.15,0.32,0.18,0.07,0.31,0.11,0.3
google-caja.csv,0.75,0.08,0.43,0.63,0.25,0.81,0.29,0.26,0.9,0.63,0.48,0.49,0.47,0.64
hydrogen.csv,1.0,0.0,1.0,1.0,0.0,0.93,0.19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.04,0.12,0.23,0.7,0.52,0.11,0.16,0.07,0.01,0.0,0.04,0.31,0.47,0.53
kvs.csv,0.0,0.0,0.22,0.18,0.04,0.52,0.01,0.67,0.52,0.24,0.19,0.23,0.09,0.29
megameknet.csv,0.46,0.25,0.5,0.66,0.77,0.67,0.32,0.93,0.29,0.24,0.32,0.65,0.75,0.7
ns-3-dev-def-routing.csv,0.79,0.32,0.34,0.16,0.21,0.78,0.59,0.63,0.56,0.48,0.28,0.37,0.38,0.16
open-ms.csv,0.04,0.05,0.2,0.45,0.25,0.17,0.07,0.26,0.16,0.19,0.2,0.35,0.35,0.34
openmsx.csv,0.12,0.82,0.24,1.0,1.0,0.5,0.87,0.74,0.91,0.84,0.38,0.61,0.95,0.23
rezilla.csv,0.62,0.22,0.73,0.71,0.59,0.13,0.39,0.04,0.32,0.36,0.79,0.74,0.75,0.76
sauerbraten.csv,0.25,0.82,0.89,1.0,0.91,0.85,0.99,0.3,0.91,0.97,0.9,0.97,1.0,0.97
webdriver.csv,0.79,0.15,0.21,0.29,0.43,0.22,0.4,0.26,0.29,0.29,0.2,0.45,0.36,0.34
yafdotnet.csv,0.42,0.02,0.26,0.59,0.29,0.26,0.18,0.33,0.25,0.44,0.24,0.42,0.35,0.6
