,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.68,0.86,0.81,0.64,0.8,0.47,0.68,1.0,0.63,0.73,0.85
bdbbasic.csv,0.55,0.91,0.97,0.64,0.85,0.55,0.37,0.75,0.6,0.6,0.47
bibletime.csv,0.53,0.4,0.52,0.65,0.74,1.0,1.0,1.0,0.53,0.34,0.85
crux-framework.csv,0.8,0.61,0.75,0.82,0.96,0.93,0.65,0.68,0.73,0.55,0.14
etherboot.csv,0.97,0.34,1.0,0.9,0.64,0.89,0.53,0.89,0.89,1.0,0.75
gnukeda.csv,0.83,0.59,0.8,0.28,0.78,0.72,0.73,0.63,0.92,0.81,0.73
google-gears.csv,0.49,0.76,0.63,0.56,0.74,0.91,0.74,0.86,0.4,0.52,0.58
jnode.csv,1.0,0.75,0.31,0.72,0.96,1.01,0.82,1.0,0.87,0.94,0.7
openmeetings.csv,0.56,0.23,0.5,0.8,0.69,0.55,0.65,0.55,0.73,0.54,0.45
pgui.csv,0.74,0.98,1.0,0.53,0.81,0.78,0.89,0.41,0.57,0.86,1.0
wxcrp.csv,0.45,0.92,0.94,0.76,1.0,0.73,0.75,0.73,0.78,0.61,1.19
