,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.35,0.18,0.5,0.38,0.27,0.65,0.32,0.0,0.39,0.27,0.33
bdbbasic.csv,0.77,0.41,0.06,0.46,0.18,0.73,0.68,0.26,0.43,0.47,1.0
bibletime.csv,0.71,0.86,0.62,0.51,0.5,0.97,1.0,1.0,0.58,0.7,0.33
crux-framework.csv,0.29,0.45,0.25,0.23,0.05,0.43,0.47,0.49,0.32,0.53,1.0
etherboot.csv,0.03,0.77,0.0,0.1,0.45,0.11,0.47,0.98,0.11,0.98,1.0
gnukeda.csv,0.97,0.64,0.31,0.79,0.86,0.76,0.42,0.6,0.97,0.8,0.67
google-gears.csv,0.77,0.86,0.5,0.49,0.82,0.97,0.89,0.94,0.7,0.71,1.0
jnode.csv,0.0,0.36,0.75,0.41,0.05,0.0,0.21,0.0,0.17,0.08,0.33
openmeetings.csv,0.45,0.91,0.69,0.21,0.5,0.65,0.37,0.68,0.29,0.5,0.67
pgui.csv,0.65,0.95,0.0,0.69,0.86,0.76,0.84,0.72,0.74,0.92,1.0
wxcrp.csv,0.61,0.64,0.81,0.67,1.0,0.65,0.37,0.53,0.79,0.79,0.0
