,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.41,0.11,0.03,0.71,0.23,0.49,0.86,0.0,0.88,0.95,0.02
bdbbasic.csv,0.39,0.09,0.01,0.62,0.21,0.42,0.59,0.46,0.88,0.89,0.06
bibletime.csv,0.4,0.28,0.06,0.59,0.25,0.31,0.28,0.28,0.85,0.96,0.02
crux-framework.csv,0.25,0.22,0.19,0.5,0.25,0.21,0.32,0.3,0.79,0.9,0.17
etherboot.csv,1.0,0.34,0.0,0.67,0.33,0.67,0.69,0.3,0.93,0.82,0.04
gnukeda.csv,0.33,0.18,0.03,0.84,0.29,0.34,0.27,0.32,0.77,0.83,0.03
google-gears.csv,0.42,0.16,0.05,0.73,0.29,0.33,0.32,0.3,0.89,0.89,0.05
jnode.csv,0.0,0.13,0.15,0.55,0.14,0.0,0.29,0.0,0.67,0.71,0.04
openmeetings.csv,0.64,0.42,0.07,0.89,0.28,0.41,0.47,0.37,0.85,0.92,0.06
pgui.csv,0.29,0.14,0.0,0.66,0.28,0.32,0.27,0.48,0.82,0.84,0.03
wxcrp.csv,0.53,0.11,0.03,0.54,0.27,0.32,0.26,0.27,0.77,0.87,0.0
