,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.41,0.94,0.63,0.67,0.88,0.68,0.44,0.59,0.52,0.93,0.44,0.53,0.55
flylinkdc.csv,0.52,0.57,0.53,0.41,0.47,0.38,0.33,0.47,0.42,0.56,0.56,0.48,0.48
fw4spl.csv,0.49,0.68,0.63,0.68,0.63,0.7,0.45,0.39,0.56,0.58,0.94,0.49,0.4
grisbi.csv,0.41,0.53,0.54,0.36,0.4,0.36,0.3,0.35,0.35,0.51,0.43,0.41,0.37
mesa3d.csv,0.44,0.62,0.46,0.86,0.41,0.36,0.49,0.36,0.43,0.53,0.43,0.51,0.44
nuttx.csv,0.5,0.72,0.59,0.68,0.54,0.35,0.6,0.39,0.42,0.53,0.52,0.65,0.44
panda3d.csv,0.92,0.85,0.54,0.53,0.98,0.45,0.41,0.53,0.53,0.61,0.49,0.6,0.67
proftp.csv,0.82,0.0,0.79,0.41,0.98,0.38,0.63,0.0,0.92,0.5,0.91,0.0,0.57
qmmp.csv,0.45,0.75,0.42,0.53,0.41,0.45,0.36,0.38,0.37,0.7,0.57,0.52,0.58
skia.csv,0.69,0.66,0.68,0.35,0.77,0.37,0.5,0.9,0.93,0.53,0.53,0.55,0.5
tart.csv,0.45,0.78,0.66,0.36,0.44,0.4,0.34,0.39,0.85,0.6,0.42,0.98,0.44
tcvp.csv,0.8,0.0,0.5,0.0,0.96,0.0,0.0,0.63,0.9,0.75,0.0,0.0,0.91
utgb.csv,0.71,0.72,0.85,0.53,0.55,0.56,0.52,0.42,0.46,0.54,0.61,0.47,0.43
