,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.61,0.37,0.24,0.42,0.53,0.0,0.69,0.76,0.32,0.38,0.12,0.38,0.33,0.53,0.65,0.17,0.25,0.44
arsenal-1.csv,0.49,0.2,0.34,0.34,0.37,0.65,0.13,0.17,0.0,0.43,0.23,0.33,0.0,0.36,0.55,0.56,0.19,0.37
atomsite.csv,0.67,0.21,0.05,0.4,0.65,0.69,0.73,0.67,0.53,0.27,0.43,0.62,0.4,0.74,0.64,0.21,0.82,0.55
barracudamvc.csv,0.0,0.74,0.49,0.4,0.0,0.13,0.0,0.13,0.0,0.0,0.39,0.05,0.52,0.0,0.09,0.36,0.0,0.27
bionote.csv,0.69,0.56,0.4,0.5,0.11,0.54,0.34,0.17,0.05,0.55,0.34,0.59,0.41,0.56,0.87,0.6,0.17,0.42
bulmages.csv,0.0,0.41,0.05,0.05,0.11,0.0,0.05,0.17,0.0,0.69,0.0,0.67,0.25,0.45,0.0,0.51,0.12,0.3
fm-classic.csv,0.02,0.21,0.49,0.25,0.0,0.23,0.26,0.17,0.0,0.98,0.24,0.17,0.22,0.05,0.43,0.46,0.09,0.12
hazelcast.csv,0.64,0.0,0.63,0.24,0.63,0.66,0.96,0.49,0.6,0.27,0.55,0.62,0.67,0.73,0.63,0.6,0.92,0.54
jppf-project.csv,0.38,0.46,0.52,0.52,0.27,0.13,0.59,0.29,0.2,0.92,0.48,0.42,0.75,0.26,0.59,0.65,0.15,0.38
megasquirtavr.csv,0.0,0.45,0.59,0.0,0.38,0.0,0.0,0.35,0.13,0.34,0.54,0.52,0.61,0.6,0.41,0.6,0.0,0.38
mevenide.csv,0.45,0.5,0.45,0.41,0.11,0.3,0.02,0.0,0.0,0.63,0.0,0.12,0.31,0.19,0.29,0.76,0.04,0.06
mumble.csv,0.76,0.61,0.29,0.33,0.35,0.43,0.68,0.17,0.56,0.0,0.72,0.61,0.53,0.87,0.28,0.27,0.51,0.34
mycila.csv,0.0,0.48,0.24,0.71,0.5,0.35,0.52,0.17,0.55,0.13,0.64,0.17,0.38,0.43,0.42,0.31,0.0,0.42
opengs.csv,0.68,0.5,0.34,0.45,0.6,0.57,0.3,0.67,0.75,0.66,0.5,0.64,0.1,0.58,0.63,0.53,0.0,0.64
openintents.csv,0.4,0.36,0.29,0.7,0.55,0.0,0.67,0.65,0.62,0.82,0.33,0.39,0.35,0.38,0.62,0.25,0.0,0.24
tweetsharp.csv,0.02,0.35,0.17,0.46,0.58,0.47,0.0,0.49,0.05,0.0,0.49,0.42,0.1,0.63,0.4,0.24,0.0,0.71
xharbour.csv,0.81,0.21,0.51,0.39,0.61,0.0,0.58,0.48,0.0,0.66,0.0,0.5,0.44,0.53,0.68,0.37,0.0,0.54
