,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.74,0.88,0.78,0.09,0.88,0.76,0.7,0.75,0.59,0.91,0.87,0.91,0.71,0.71,0.82,0.83
betoffice.csv,0.81,0.77,0.63,0.61,0.46,0.68,0.85,0.05,0.81,0.67,0.65,0.72,0.72,0.68,0.93,0.63
bionote.csv,0.79,0.94,0.9,0.96,0.96,0.96,0.95,0.96,0.8,0.98,1.0,0.91,0.0,0.92,0.86,0.86
bnetd.csv,0.77,0.61,0.68,0.49,0.55,0.81,0.9,0.59,0.59,0.98,0.04,0.94,0.72,0.61,0.87,0.4
emisview.csv,0.98,1.0,0.95,0.83,0.91,0.04,0.93,1.0,0.92,1.0,1.0,0.93,0.88,0.7,0.9,1.0
findbugs.csv,0.72,0.9,0.79,0.88,0.84,0.85,0.77,0.88,0.75,0.74,0.66,0.85,0.57,0.73,0.07,0.89
hazelcast.csv,0.84,0.5,0.54,0.85,0.0,0.98,0.88,0.96,0.86,0.78,0.73,1.0,0.94,0.82,1.0,0.8
jitterbit.csv,0.83,0.77,0.98,0.89,0.77,0.73,0.91,0.98,0.05,0.76,0.85,0.96,0.63,0.69,0.63,0.98
jppf-project.csv,0.84,1.0,0.97,1.0,1.01,0.77,1.0,0.87,1.0,1.0,1.0,0.0,0.7,0.8,0.79,0.9
kolmafia.csv,0.68,0.71,0.8,0.49,0.55,0.68,0.85,0.81,0.62,0.96,0.92,0.61,0.52,0.04,0.63,0.73
megasquirtavr.csv,1.0,1.0,0.01,1.0,0.8,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qedo.csv,0.95,0.75,0.86,0.87,0.93,1.0,0.9,1.0,0.9,0.97,0.85,0.97,0.88,1.0,0.96,0.05
trackit.csv,0.67,0.55,0.65,0.82,0.64,0.81,0.0,0.78,0.78,0.91,0.84,0.64,0.38,0.61,0.8,0.95
wxlua.csv,1.0,0.96,0.77,0.87,1.0,0.74,1.0,1.0,0.98,0.0,0.99,1.0,0.92,0.95,0.97,0.96
x4x.csv,0.0,0.86,0.75,0.71,0.65,0.74,0.78,0.74,0.8,0.59,0.94,0.63,0.89,0.8,0.7,0.78
xharbour.csv,1.0,0.0,0.58,0.71,0.71,0.61,0.83,0.86,0.85,0.79,0.93,0.8,0.93,0.87,0.94,0.86
