,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.55,0.13,0.65,0.91,0.64,0.3,0.59,0.67,0.56,0.1,0.13,0.74,0.5,0.38,0.25,0.73
betoffice.csv,0.36,0.24,0.4,0.59,0.58,0.35,0.22,0.98,0.31,0.33,0.49,0.33,0.38,0.36,0.14,0.45
bionote.csv,0.21,0.06,0.1,0.05,0.04,0.04,0.05,0.04,0.2,0.02,0.0,0.09,1.0,0.09,0.14,0.14
bnetd.csv,0.62,0.61,0.4,0.82,0.49,0.7,0.27,0.51,0.54,0.57,0.97,0.66,0.5,0.64,0.54,0.86
emisview.csv,0.02,0.0,0.05,0.18,0.09,0.96,0.07,0.0,0.08,0.0,0.0,0.07,0.12,0.32,0.11,0.0
findbugs.csv,0.36,0.36,0.6,0.18,0.42,0.17,0.24,0.16,0.28,0.27,0.67,0.15,0.5,0.32,0.93,0.14
hazelcast.csv,0.93,0.85,0.8,0.95,1.0,1.0,0.85,0.91,0.93,0.78,0.87,0.97,1.0,0.98,0.96,0.95
jitterbit.csv,0.33,0.79,0.7,0.14,0.35,0.48,0.1,0.04,0.95,0.43,0.82,0.12,0.38,0.53,0.39,0.09
jppf-project.csv,0.9,1.0,0.8,0.91,0.85,0.96,0.98,0.93,0.63,1.0,0.92,1.0,0.75,0.89,0.86,0.91
kolmafia.csv,0.64,0.32,0.2,0.59,0.45,0.78,0.24,0.22,0.49,0.05,0.08,0.52,0.62,0.96,0.54,0.41
megasquirtavr.csv,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.96,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qedo.csv,0.05,0.25,0.15,0.14,0.07,0.0,0.1,0.0,0.1,0.03,0.15,0.03,0.12,0.0,0.04,0.95
trackit.csv,0.48,0.46,0.35,0.23,0.44,0.26,1.0,0.29,0.33,0.09,0.18,0.41,0.75,0.47,0.32,0.18
wxlua.csv,0.98,0.87,0.8,0.95,0.98,0.7,0.98,1.0,0.9,1.0,0.79,0.97,0.75,0.96,0.86,0.95
x4x.csv,1.0,0.85,0.25,0.77,0.75,0.39,0.76,0.38,0.43,0.55,0.77,0.62,0.88,0.89,0.68,0.59
xharbour.csv,0.95,1.0,0.95,0.86,0.89,0.83,1.0,0.84,0.91,0.39,0.85,0.72,0.88,0.96,0.93,0.64
