,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.29,0.01,0.32,0.75,0.35,0.24,0.2,0.48,0.24,0.38
jmule.csv,0.4,0.51,0.55,0.35,0.59,0.27,0.87,0.56,0.45,0.03
nosleepsoftware.csv,0.29,0.27,0.0,0.0,0.09,0.01,0.31,0.26,0.13,0.31
open-ms.csv,0.91,0.62,0.4,0.42,0.49,0.54,0.41,0.0,0.53,0.72
qgo.csv,0.0,0.29,0.04,0.1,0.01,0.09,0.33,0.23,0.32,0.41
rezilla.csv,0.89,0.85,0.94,0.0,0.79,0.75,0.88,0.81,0.95,0.9
riff-evolve.csv,0.23,0.34,0.21,0.22,0.22,0.0,0.59,0.22,0.32,0.41
uwom.csv,0.51,0.06,0.26,0.15,0.25,0.11,0.6,0.38,0.0,0.03
virtuoso.csv,0.94,0.12,0.6,0.6,0.57,0.74,0.01,0.7,0.28,0.55
yield.csv,0.57,0.54,0.6,0.3,0.0,0.65,0.77,0.64,0.62,0.83
