,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.55,0.99,0.37,0.34,0.47,0.48,0.44,0.3,0.4,0.41
jmule.csv,0.48,0.59,0.05,0.53,0.66,0.51,0.36,0.39,0.46,0.98
nosleepsoftware.csv,0.49,0.53,1.0,0.1,0.11,0.06,0.38,0.25,0.25,0.47
open-ms.csv,0.59,0.6,0.51,0.11,0.41,0.44,0.29,0.93,0.2,0.52
qgo.csv,1.0,0.56,0.5,0.23,0.27,0.34,0.5,0.32,0.32,0.64
rezilla.csv,0.61,0.63,0.38,0.94,0.66,0.64,0.38,0.35,0.35,0.65
riff-evolve.csv,0.67,0.35,0.14,0.4,0.49,0.99,0.42,0.32,0.27,0.47
uwom.csv,0.55,0.35,0.35,0.15,0.35,0.42,0.41,0.39,0.98,0.57
virtuoso.csv,0.63,0.39,0.34,0.41,0.63,0.57,0.96,0.31,0.54,0.64
yield.csv,0.68,0.62,0.37,0.52,0.99,0.67,0.41,0.37,0.4,0.65
