,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.6,0.99,0.32,0.25,0.53,0.62,0.42,0.22,0.35,0.45
jmule.csv,0.5,0.57,0.04,0.46,0.56,0.62,0.23,0.26,0.33,0.96
nosleepsoftware.csv,0.57,0.65,1.0,1.0,0.4,0.75,0.32,0.22,0.31,0.53
open-ms.csv,0.45,0.54,0.39,0.11,0.43,0.44,0.23,1.0,0.14,0.43
qgo.csv,1.0,0.65,0.75,0.43,0.91,0.71,0.39,0.28,0.26,0.59
rezilla.csv,0.47,0.51,0.24,1.0,0.52,0.52,0.24,0.22,0.22,0.48
riff-evolve.csv,0.7,0.47,0.17,0.44,0.62,1.0,0.28,0.29,0.23,0.48
uwom.csv,0.5,0.81,0.33,0.25,0.5,0.73,0.28,0.29,0.98,0.91
virtuoso.csv,0.47,0.71,0.24,0.31,0.55,0.48,0.98,0.2,0.42,0.54
yield.csv,0.57,0.57,0.26,0.48,1.0,0.56,0.27,0.24,0.26,0.49
