,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.5,0.98,0.44,0.53,0.43,0.4,0.48,0.52,0.46,0.38
jmule.csv,0.47,0.62,0.06,0.63,0.81,0.44,0.86,0.78,0.78,1.0
nosleepsoftware.csv,0.43,0.45,1.0,0.05,0.06,0.03,0.48,0.28,0.21,0.42
open-ms.csv,0.87,0.68,0.75,0.11,0.4,0.44,0.4,0.87,0.32,0.67
qgo.csv,1.0,0.49,0.38,0.16,0.16,0.22,0.69,0.36,0.41,0.71
rezilla.csv,0.9,0.83,0.88,0.89,0.92,0.82,0.93,0.89,0.93,1.0
riff-evolve.csv,0.63,0.27,0.12,0.37,0.4,0.98,0.79,0.36,0.34,0.46
uwom.csv,0.6,0.22,0.38,0.11,0.27,0.3,0.76,0.6,0.97,0.42
virtuoso.csv,0.97,0.27,0.56,0.58,0.75,0.7,0.95,0.69,0.74,0.79
yield.csv,0.87,0.67,0.62,0.58,0.98,0.84,0.93,0.81,0.79,0.96
