,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.42,0.37,0.4,0.25,0.33,0.2,0.48,0.49,0.31,0.6
aubit4gl.csv,0.06,0.27,0.27,0.17,0.67,0.08,0.48,0.21,0.51,0.06
liferea.csv,0.45,0.07,0.34,0.51,0.27,0.28,0.34,0.68,0.24,0.14
moving-pictures.csv,0.46,0.23,0.29,0.09,0.39,0.17,0.65,0.16,0.38,0.32
opensim4opencog.csv,0.49,0.1,0.37,0.53,0.65,0.34,0.5,0.66,0.41,0.35
plearn.csv,0.51,0.13,0.33,0.38,0.03,0.21,0.4,0.38,0.23,0.22
psrchive.csv,0.49,0.59,0.54,0.32,0.67,0.17,0.51,0.68,0.55,0.31
re2c.csv,0.39,0.92,0.26,0.31,0.42,0.13,0.56,0.44,0.52,0.16
rebecca-aiml.csv,0.39,0.24,0.31,0.39,0.69,0.22,0.64,0.57,0.75,0.38
xfce.csv,0.42,0.12,0.3,0.41,0.54,0.23,0.59,0.74,0.46,0.33
