,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0
aubit4gl.csv,3.0,0.0,1.0,7.0,2.0,13.0,0.0,0.0,3.0,0.0
liferea.csv,3.0,20.0,7.0,0.0,2.0,9.0,0.0,0.0,3.0,16.0
moving-pictures.csv,1.0,0.0,13.0,8.0,0.0,9.0,0.0,0.0,0.0,8.0
opensim4opencog.csv,5.0,15.0,2.0,2.0,1.0,7.0,1.0,0.0,22.0,8.0
plearn.csv,6.0,14.0,5.0,0.0,3.0,6.0,4.0,0.0,24.0,8.0
psrchive.csv,7.0,0.0,0.0,7.0,1.0,12.0,4.0,0.0,2.0,1.0
re2c.csv,1.0,0.0,15.0,4.0,2.0,13.0,0.0,4.0,3.0,13.0
rebecca-aiml.csv,0.0,0.0,17.0,7.0,1.0,27.0,0.0,1.0,1.0,0.0
xfce.csv,15.0,10.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,10.0
