,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.71,0.67,0.88,0.67,0.89,0.93,0.5,0.55,0.69,0.72
aubit4gl.csv,0.8,0.89,0.94,0.91,0.46,0.91,0.93,0.97,0.63,0.83
liferea.csv,0.46,0.48,0.45,0.5,0.82,0.71,0.69,0.56,0.83,0.67
moving-pictures.csv,0.45,0.4,0.39,0.89,0.54,0.96,0.46,0.94,0.93,0.81
opensim4opencog.csv,0.4,0.32,0.4,0.34,0.31,0.47,0.42,0.38,0.56,0.48
plearn.csv,0.48,0.52,0.46,0.88,0.83,0.69,0.44,0.65,0.74,0.62
psrchive.csv,0.57,0.91,0.56,0.42,0.44,0.7,0.44,0.49,0.57,0.74
re2c.csv,0.72,0.86,0.53,0.58,0.93,0.73,0.47,0.81,0.58,0.89
rebecca-aiml.csv,0.47,0.39,0.37,0.27,0.34,0.43,0.3,0.44,0.62,0.52
xfce.csv,0.5,0.35,0.42,0.52,0.38,0.44,0.33,0.39,0.5,0.48
