,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.11,1.0,0.02,0.02
k3b.csv,0.62,0.67,0.58,0.73,1.0
myfaces.csv,0.42,0.21,0.59,0.95,0.17
robocode.csv,1.0,0.64,0.53,0.68,0.67
zildo.csv,0.44,1.0,0.2,0.39,0.44
