,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.09,1.0,0.02,0.02
k3b.csv,0.61,0.66,0.63,0.79,1.0
myfaces.csv,0.83,0.98,0.96,0.94,0.95
robocode.csv,1.0,0.82,0.62,0.83,0.71
zildo.csv,0.39,1.0,0.17,0.35,0.4
