,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.54,0.76,0.77,0.58,0.48,0.65,1.13,0.49,0.7,0.92,0.5,0.57,0.76,0.59
crisscross.csv,0.98,1.0,0.31,0.88,1.0,0.7,0.98,0.8,1.02,1.0,0.81,0.96,0.85,0.88
gisgraphy.csv,0.77,1.0,0.91,0.86,0.68,0.99,1.01,0.85,0.8,0.92,0.92,0.85,1.0,0.29
glelite.csv,0.87,0.87,0.75,0.83,1.0,0.97,0.97,0.94,1.0,1.0,0.03,0.63,0.68,1.01
gnome-jabber.csv,0.68,0.8,0.69,0.59,0.78,0.7,0.64,0.61,0.81,0.44,0.53,0.56,0.82,0.53
ivataopenportal.csv,0.71,1.0,0.82,0.74,0.9,0.4,1.15,0.8,0.88,1.0,0.34,1.0,0.87,0.9
mb-unit.csv,0.99,0.68,0.62,0.52,1.0,0.99,0.85,0.74,0.87,1.0,1.0,0.62,0.69,0.95
mvdsv.csv,0.97,0.82,1.0,0.94,0.05,0.99,1.0,0.94,0.82,0.96,0.94,0.92,0.98,0.73
nova.csv,0.71,0.35,0.78,0.72,1.19,0.86,0.73,0.68,0.73,1.0,1.1,0.81,0.78,0.67
olex2.csv,0.92,0.63,0.55,0.53,0.73,0.97,1.05,0.62,0.45,0.73,1.0,0.42,0.84,1.0
openwbem.csv,0.49,0.85,0.66,0.63,0.47,0.81,0.42,0.75,0.6,0.68,0.63,0.58,0.7,0.74
tencompetence.csv,0.85,0.93,0.88,0.76,1.03,0.89,0.53,0.89,0.83,0.85,0.79,0.95,0.32,0.92
xcmetadataservicestoolkit.csv,0.78,0.87,0.97,0.62,0.86,0.83,0.44,0.69,0.4,1.0,0.68,0.57,0.46,0.99
