,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.37,0.0,0.72,0.35,0.24,0.46,0.0,0.38,0.25,0.19,0.2
arsenal-1.csv,0.0,0.64,0.17,0.3,0.06,0.54,0.23,0.37,0.25,0.24,0.61
barracudamvc.csv,0.7,0.24,0.0,0.0,0.0,0.23,0.35,0.55,0.32,0.64,0.39
cascading.csv,0.41,0.65,0.59,0.54,0.52,0.42,0.65,0.37,0.71,0.44,0.55
emisview.csv,0.34,0.3,0.76,0.67,0.26,0.59,0.23,0.44,0.19,0.14,0.39
jitterbit.csv,0.32,0.13,0.71,0.58,0.38,0.73,0.4,0.46,0.41,0.41,0.73
jppf-project.csv,0.48,0.13,0.34,0.39,0.59,0.43,0.42,0.8,0.62,0.42,0.67
mevenide.csv,0.4,0.26,0.0,0.05,0.0,0.38,0.0,0.37,0.18,0.17,0.85
mycila.csv,0.5,0.32,0.17,0.31,0.41,0.26,0.8,0.55,0.6,0.66,0.26
ontopia.csv,0.24,0.56,0.52,0.53,0.48,0.53,0.56,0.54,0.17,0.8,0.2
trackit.csv,0.1,0.0,0.45,0.43,0.59,0.59,0.41,0.13,0.04,0.19,0.2
