,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.2,0.34,0.32,0.23,0.18,0.24,0.28,0.26,0.29,0.19,0.55,0.08,0.37,0.16,0.41,0.12,0.28,0.32
cornerstone.csv,0.17,0.09,0.05,0.08,0.09,0.09,0.18,0.11,0.0,0.0,0.32,0.18,0.02,0.13,0.0,0.06,0.21,0.29
emeraldemu.csv,0.52,0.33,0.55,0.89,0.09,0.11,0.15,0.18,0.13,0.21,0.55,0.03,0.07,0.0,0.12,0.0,0.25,0.0
grafx2.csv,0.36,0.37,0.38,0.31,0.18,0.31,0.3,0.3,0.31,0.17,0.55,0.47,0.37,0.16,0.69,0.25,0.51,0.24
jahshakafx.csv,0.25,0.33,0.59,0.34,0.09,0.12,0.2,0.43,0.25,0.13,0.51,0.03,0.2,0.13,0.34,0.12,0.34,0.42
kindb.csv,0.44,0.78,0.92,0.48,0.36,0.37,0.78,0.6,0.58,0.32,0.77,0.22,0.54,0.32,0.31,0.12,0.65,0.08
maya-work-in-progress.csv,0.67,0.48,0.42,0.25,0.55,0.37,0.65,0.57,0.64,0.15,0.98,0.45,0.41,0.21,0.34,0.19,0.56,0.53
netatalk.csv,0.37,0.68,0.71,0.88,0.36,0.43,0.57,0.61,0.66,0.57,0.77,0.35,0.33,0.47,0.56,0.56,0.65,0.34
novembre.csv,0.19,0.34,0.28,0.55,0.0,0.28,0.25,0.37,0.71,0.21,0.43,0.55,0.11,0.32,0.81,0.5,0.3,0.58
ns-3.csv,0.25,0.31,0.31,0.07,0.27,0.41,0.9,0.55,0.64,0.21,0.36,0.95,0.72,0.97,0.81,0.88,0.79,0.97
nullc.csv,0.69,1.0,1.0,0.99,0.0,0.27,0.48,0.47,0.35,0.04,0.6,0.15,0.57,0.29,0.44,0.12,0.76,0.29
open-beos.csv,0.44,0.43,0.31,0.46,0.18,0.25,0.5,0.56,0.24,0.13,0.3,0.88,0.52,0.68,0.34,0.88,0.44,0.87
planeshift.csv,0.92,0.85,0.77,0.96,0.82,0.47,0.7,0.49,0.71,0.53,0.66,0.77,0.3,0.26,0.62,0.5,0.87,0.84
plee-the-bear.csv,0.34,0.21,0.23,0.07,0.55,0.53,0.57,0.76,0.62,0.13,0.66,0.55,0.59,0.63,0.56,0.44,0.42,0.63
reaper-ecad.csv,0.11,0.06,0.07,0.23,0.0,0.01,0.0,0.06,0.02,0.0,0.09,0.0,0.02,0.0,0.0,0.0,0.08,0.03
sbml.csv,0.35,0.39,0.54,0.58,0.09,0.32,0.82,0.81,0.45,0.62,0.57,0.66,0.7,0.16,0.16,0.56,0.38,0.55
unimrcp.csv,0.58,0.47,0.38,0.33,0.09,0.23,0.65,0.19,0.19,0.13,0.77,0.26,0.33,0.08,0.12,0.06,0.55,0.21
unladen-swallow.csv,0.08,0.19,0.16,0.05,0.09,0.15,0.57,0.31,0.22,0.09,0.11,0.35,0.37,0.13,0.09,0.19,0.25,0.34
