,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.41,0.63,0.85,0.92,0.72,0.63,0.96,0.87,0.97,0.99,0.93,1.01,0.75,0.14,0.85,1.1,0.91,0.88
bionote.csv,0.94,0.92,0.72,0.87,0.92,0.84,0.96,0.95,0.97,0.94,0.94,0.94,0.0,0.9,0.92,0.86,0.94,0.89
buddata-ebxml-registry.csv,1.0,0.98,0.99,1.0,1.0,0.97,0.97,0.95,1.0,0.94,1.0,0.98,1.0,0.99,1.0,1.0,0.0,0.96
bullet.csv,0.52,0.76,0.76,0.9,0.07,0.9,0.71,0.67,0.69,0.63,0.77,0.8,0.71,0.75,1.07,1.02,0.51,0.88
bulmages.csv,0.51,0.93,0.71,0.96,0.79,0.8,1.0,0.14,0.93,0.95,0.81,0.94,1.0,0.75,0.93,0.83,0.91,0.68
bwapi.csv,0.95,0.73,0.8,0.73,1.0,0.94,0.97,0.89,0.92,1.0,0.08,0.93,0.92,0.95,1.0,1.0,0.8,1.0
cubefs.csv,0.55,0.82,0.61,0.87,0.79,0.79,1.0,0.84,0.06,0.78,0.97,0.81,0.74,0.49,0.47,0.62,0.5,0.78
emisview.csv,0.94,0.93,1.0,0.0,0.93,0.77,1.0,0.91,0.98,0.93,0.96,0.91,0.89,0.97,0.78,0.97,0.85,0.92
java-gnome.csv,0.87,0.81,0.67,0.62,0.48,0.59,1.0,1.0,0.88,0.06,0.83,0.62,0.92,0.61,0.85,0.79,0.69,0.75
jgameai.csv,0.94,0.04,0.75,0.91,0.83,0.9,0.67,0.63,0.95,0.77,0.82,0.92,1.01,0.87,0.82,0.88,0.94,0.76
megasquirtavr.csv,1.0,0.71,0.35,1.0,1.0,1.0,1.0,1.0,0.56,0.47,1.0,0.94,0.94,1.0,1.0,0.14,0.76,1.0
mp-rechnungs-und-kundenverwaltung.csv,0.57,0.97,0.76,0.74,0.79,0.7,0.76,0.76,0.84,0.84,0.87,0.11,0.4,0.5,0.78,0.64,0.86,0.97
mptvseries.csv,0.46,0.91,0.62,0.62,0.69,0.11,0.59,0.69,0.74,0.75,0.78,0.71,0.65,0.63,0.83,0.55,0.76,0.83
oorexx.csv,0.54,0.79,0.73,0.96,0.54,0.78,0.61,0.63,0.78,0.74,1.03,0.79,0.87,0.65,0.59,1.01,0.78,0.04
somap.csv,1.0,1.0,1.0,0.93,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17,0.17,1.0,1.0
tktoolkit.csv,1.02,0.8,0.79,0.75,0.57,0.65,0.04,0.6,0.8,0.68,0.85,0.73,0.69,0.68,0.68,0.5,0.75,0.82
xharbour.csv,0.05,0.87,0.49,0.82,0.65,0.87,0.76,0.88,0.77,0.94,0.73,0.79,0.74,0.87,1.0,1.0,0.8,0.93
