,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.0,0.6,0.07,0.08,0.1,0.0,0.11,0.12,0.0,0.12,0.0,0.13,0.08,0.05,0.0,1.0,0.0,0.36
bionote.csv,0.0,0.05,0.16,0.04,0.14,0.0,0.12,0.02,0.03,0.12,0.0,0.02,0.0,0.05,0.0,0.0,0.0,0.04
buddata-ebxml-registry.csv,1.0,0.98,0.99,1.0,1.0,0.97,0.97,0.95,1.0,0.94,1.0,0.98,1.0,0.99,1.0,1.0,0.0,0.96
bullet.csv,0.42,0.6,0.12,0.57,0.05,0.58,0.64,0.48,0.24,0.5,0.56,0.74,0.5,0.73,1.0,1.0,0.25,0.88
bulmages.csv,0.11,0.13,0.12,0.04,0.38,0.13,0.0,0.0,0.15,0.19,0.33,0.06,0.06,0.41,0.0,0.0,0.0,0.24
bwapi.csv,0.95,0.73,0.79,0.68,1.0,0.94,0.97,0.88,0.91,1.0,0.08,0.92,0.92,0.95,1.0,1.0,0.75,1.0
cubefs.csv,0.47,0.81,0.12,0.85,0.38,0.39,0.0,0.57,0.06,0.5,0.44,0.75,0.63,0.32,0.0,0.0,0.25,0.44
emisview.csv,0.0,0.08,0.04,0.0,0.0,0.23,0.0,0.1,0.12,0.0,0.08,0.15,0.17,0.02,0.0,0.0,0.0,0.04
java-gnome.csv,0.16,0.06,0.16,0.26,0.33,0.35,1.0,1.0,0.03,0.06,0.39,0.31,0.27,0.49,0.17,0.0,0.25,0.4
jgameai.csv,0.0,0.0,0.08,0.04,0.29,0.13,0.37,0.35,0.09,0.0,0.19,0.13,0.15,0.08,0.33,0.0,0.25,0.12
megasquirtavr.csv,1.0,0.63,0.0,1.0,1.0,1.0,1.0,1.0,0.38,0.44,1.0,0.94,0.94,1.0,1.0,0.0,0.75,1.0
mp-rechnungs-und-kundenverwaltung.csv,0.05,0.1,0.7,0.08,0.48,0.65,0.71,0.76,0.53,0.75,0.08,0.01,0.13,0.38,0.17,0.0,0.25,0.92
mptvseries.csv,0.26,0.22,0.15,0.13,0.29,0.0,0.45,0.5,0.18,0.12,0.33,0.19,0.19,0.18,0.33,0.0,0.0,0.28
oorexx.csv,0.42,0.78,0.53,0.96,0.52,0.71,0.37,0.59,0.71,0.56,0.97,0.74,0.71,0.51,0.33,1.0,0.75,0.04
somap.csv,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17,0.0,1.0,1.0
tktoolkit.csv,0.21,0.79,0.37,0.43,0.29,0.45,0.0,0.46,0.65,0.38,0.69,0.42,0.58,0.46,0.0,0.0,0.0,0.32
xharbour.csv,0.05,0.78,0.42,0.72,0.62,0.87,0.71,0.86,0.76,0.94,0.69,0.75,0.73,0.87,1.0,1.0,0.75,0.92
