,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
columba.csv,0.29,0.25,0.25,0.2,0.43,0.3,0.2,0.46,0.18,0.28,0.01,0.4,0.17,0.35
encog-cs.csv,0.47,0.9,0.68,0.01,0.68,0.82,0.84,0.92,0.93,0.77,0.87,0.72,0.81,0.69
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flexpay.csv,0.21,0.3,0.18,0.19,0.0,0.17,0.66,0.46,0.2,0.19,0.76,0.4,0.35,0.04
fluent-nhibernate.csv,0.21,0.0,0.01,0.04,0.06,0.15,0.0,0.0,0.09,0.0,0.03,0.22,0.06,0.04
geochat.csv,0.34,0.15,0.16,0.31,0.85,0.22,0.82,0.08,0.78,0.62,0.97,0.0,0.96,0.44
gpsmid.csv,0.0,0.35,0.49,0.37,0.4,0.35,0.37,0.23,0.07,0.32,0.14,0.41,0.13,0.42
k3d.csv,0.0,0.05,0.0,0.03,0.05,0.08,0.03,0.0,0.04,0.07,0.0,0.04,0.04,0.0
m-a-d-n-e-s-s.csv,0.5,0.05,0.2,0.38,0.43,0.02,0.81,0.31,0.62,0.37,0.32,0.12,0.78,0.63
mob-sen-plat.csv,0.61,0.0,0.35,0.22,0.29,0.25,0.49,0.31,0.35,0.63,0.46,0.14,0.28,0.13
ninject.csv,0.0,0.0,0.1,0.02,0.11,0.07,0.42,0.08,0.0,0.09,0.17,0.17,0.02,0.19
uface.csv,0.63,0.7,0.75,0.45,0.73,0.88,0.76,0.54,0.64,0.63,0.72,0.78,0.0,0.52
v8.csv,0.16,0.95,0.98,0.36,0.36,0.98,0.28,0.0,0.18,0.37,0.23,0.9,0.07,0.42
