,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
columba.csv,0.68,0.85,0.74,0.8,0.48,0.58,0.95,0.42,0.69,0.61,0.65,0.6,0.45,0.41
encog-cs.csv,0.51,0.39,0.46,0.61,0.52,0.44,0.35,0.51,0.41,0.56,0.44,0.49,0.54,0.46
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flexpay.csv,0.89,0.75,0.97,0.94,0.99,0.92,0.46,0.77,0.92,0.97,0.48,0.75,0.8,0.5
fluent-nhibernate.csv,0.95,0.0,0.67,0.93,0.97,0.91,0.0,0.96,0.83,0.94,0.94,0.92,0.93,0.5
geochat.csv,0.79,0.86,0.89,0.6,0.45,0.88,0.39,0.8,0.51,0.67,0.4,0.83,0.53,0.56
gpsmid.csv,0.39,0.72,0.43,0.59,0.46,0.53,0.47,0.45,0.86,0.42,0.64,0.42,0.44,0.38
k3d.csv,0.5,0.0,0.96,0.88,0.96,0.8,0.67,0.88,0.5,0.92,0.75,0.83,0.92,0.0
m-a-d-n-e-s-s.csv,0.64,0.83,0.76,0.62,0.78,0.64,0.38,0.56,0.61,0.8,0.87,0.94,0.74,0.43
mob-sen-plat.csv,0.66,0.36,0.66,0.97,0.93,0.82,0.62,0.97,0.68,0.61,0.62,0.95,0.54,0.86
ninject.csv,0.73,0.0,0.94,0.91,0.98,0.83,0.47,0.96,0.8,0.95,0.77,0.81,0.92,0.7
uface.csv,0.33,0.38,0.39,0.54,0.37,0.43,0.34,0.38,0.38,0.41,0.4,0.38,0.37,0.54
v8.csv,0.41,0.35,0.35,0.6,0.46,0.39,0.55,0.44,0.62,0.42,0.49,0.39,0.42,0.39
