,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
48,3,0,2,2,0,2,4,4,jaql.csv
46,4,2,1,3,2,1,3,3,freelords.csv
53,5,7,4,8,12,13,16,19,modellus.csv
22,6,6,3,6,10,11,17,17,phonon-vlc-mplayer.csv
17,7,0,2,2,0,1,2,1,openmeetings.csv
28,8,0,2,2,3,3,5,4,bdbbasic.csv
15,9,10,13,16,7,4,14,19,yield.csv
25,10,4,5,7,5,11,15,17,clamav.csv
16,11,6,6,8,6,5,8,10,moviesandbox.csv
49,12,0,2,1,4,12,13,13,open-ms.csv
52,13,2,3,3,2,5,7,7,truevision.csv
54,14,2,2,4,1,3,6,7,bibedt.csv
47,15,1,2,4,1,2,5,5,codeblocks.csv
19,16,1,2,3,2,3,4,4,qtractor.csv
24,17,3,4,14,2,2,17,19,flylinkdc.csv
13,18,6,9,11,8,8,14,17,ogrehg.csv
26,19,5,4,6,7,9,14,14,oscarmcmaster.csv
12,20,0,0,0,0,0,1,0,dataobjectsdotnet.csv
29,21,2,5,6,1,5,8,8,skia.csv
55,22,1,2,2,2,3,4,3,pcsx2.csv
45,24,1,2,1,3,4,7,7,jmoney.csv
56,25,1,1,1,2,2,2,1,jsidplay2.csv
27,26,1,1,1,2,2,5,4,xcf.csv
14,27,1,1,1,2,4,7,6,java-gnome.csv
23,28,2,2,4,5,4,10,10,codesmith.csv
18,29,2,3,5,4,0,8,7,ofbiz.csv
36,30,3,4,6,5,7,12,15,rcp-company-uibindings.csv
4,32,0,1,1,0,2,2,1,bloodycore.csv
11,33,3,7,8,4,7,8,13,columba.csv
10,34,1,5,5,4,8,9,14,irplus.csv
5,35,2,3,7,5,5,8,10,yaprm.csv
37,37,4,5,11,6,3,12,15,triplea.csv
32,38,5,5,9,7,5,8,15,twostep.csv
38,39,2,2,8,4,3,11,11,joustsim.csv
50,40,3,1,3,3,3,6,7,web-cat.csv
43,41,1,5,7,1,2,7,9,springside.csv
20,42,4,6,12,5,3,13,18,open-media-library.csv
31,43,4,2,5,5,5,11,15,glas.csv
30,44,5,5,8,7,8,13,19,jsr308-langtools.csv
21,45,4,3,3,3,3,9,11,nova.csv
42,46,6,8,12,6,5,1,18,owlib.csv
51,47,5,3,6,4,3,4,7,botsnscouts.csv
44,48,0,2,3,0,3,5,4,xamj.csv
2,50,1,1,3,5,8,10,12,gwanted.csv
7,51,2,4,10,2,5,13,16,applet2app.csv
39,52,1,1,2,2,3,5,5,plearn.csv
35,53,2,1,3,2,1,2,3,k3b.csv
34,54,1,3,2,3,6,9,10,stuproa-cims.csv
40,55,6,4,12,4,2,4,13,maya-work-in-progress.csv
6,56,2,3,5,1,1,3,4,decidr.csv
3,57,4,5,7,4,4,3,9,openmalaria.csv
8,58,2,2,4,2,2,4,4,runuomondains.csv
1,59,3,6,8,2,1,9,11,vars-redux.csv
9,60,5,10,13,4,7,17,19,jcache.csv
0,61,3,5,5,2,4,7,6,voms.csv
33,62,4,4,6,5,2,7,7,levent.csv
41,63,0,4,5,1,10,15,13,sepgsql.csv
