,id,expected,max_bell,avge,median,bellwether,size
48,3,1,2,1.2,0.63,h2database.csv,5
46,4,1,1,0.75,0.645,freelords.csv,4
53,5,3,9,3.2,0.645,sbml.csv,20
22,6,3,8,3.28,0.615,gdis.csv,18
17,7,0,2,1.5,0.765,openmeetings.csv,2
28,8,1,2,1.6,0.64,qse.csv,5
15,9,3,13,4.25,0.69,yield.csv,20
25,10,3,5,2.83,0.58,rebecca-aiml.csv,18
16,11,2,6,3.27,0.69,moviesandbox.csv,11
49,12,2,5,2.14,0.62,google-caja.csv,14
52,13,1,4,2.12,0.655,acegisecurity.csv,8
54,14,1,1,1.0,0.55,quarkplusplus.csv,8
47,15,1,1,0.83,0.55,silvertree.csv,6
19,16,1,3,1.6,0.68,ng4j.csv,5
24,17,3,6,2.1,0.595,quickfast.csv,20
13,18,3,9,3.06,0.655,ogrehg.csv,18
26,19,2,5,2.27,0.6,auber.csv,15
12,20,0,0,0.0,0.6,dataobjectsdotnet.csv,1
29,21,1,5,2.44,0.675,skia.csv,10
55,22,1,2,1.75,0.685,pcsx2.csv,4
45,24,1,2,2.62,0.52,jmoney.csv,10
56,25,0,1,1.0,0.645,m-m-m.csv,2
27,26,1,0,0.8,0.53,panda3d.csv,5
14,27,1,1,0.86,0.58,archive-crawler.csv,7
23,28,2,2,1.55,0.53,codesmith.csv,11
18,29,1,1,1.25,0.565,cleartk.csv,8
36,30,3,6,2.44,0.62,pokenetonline.csv,17
4,32,0,1,1.0,0.58,raygina.csv,2
11,33,2,7,2.36,0.655,columba.csv,14
10,34,2,3,2.33,0.585,hibernate.csv,16
5,35,2,5,2.36,0.63,lphant.csv,11
37,37,3,5,2.69,0.64,triplea.csv,17
32,38,3,1,1.5,0.54,gnome-jabber.csv,16
38,39,2,2,1.83,0.545,pamguard.csv,12
50,40,1,1,0.88,0.535,web-cat.csv,8
43,41,2,5,1.4,0.65,springside.csv,10
20,42,3,6,2.16,0.6,open-media-library.csv,19
31,43,3,2,1.69,0.535,glas.csv,16
30,44,3,5,2.5,0.6,galaxium.csv,20
21,45,2,2,1.75,0.56,vienna-add-in.csv,12
42,46,3,8,2.42,0.65,owlib.csv,19
51,47,1,3,1.5,0.63,botsnscouts.csv,8
44,48,1,3,1.6,0.68,autofac.csv,5
2,50,2,3,1.85,0.56,ivatamasks.csv,13
7,51,3,9,3.76,0.66,autowikibrowser.csv,17
39,52,1,1,0.83,0.545,qdvdauthor.csv,6
35,53,1,1,1.0,0.565,k3b.csv,4
34,54,2,3,1.55,0.56,stuproa-cims.csv,11
40,55,2,4,2.14,0.645,maya-work-in-progress.csv,14
6,56,1,3,1.6,0.68,decidr.csv,5
3,57,2,5,2.6,0.65,openmalaria.csv,10
8,58,1,2,1.0,0.585,runuomondains.csv,6
1,59,2,6,1.83,0.62,vars-redux.csv,13
9,60,3,10,3.75,0.62,jcache.csv,20
0,61,1,5,1.71,0.73,voms.csv,7
33,62,1,1,1.88,0.64,img-browse-sort.csv,8
41,63,2,4,2.21,0.63,gss.csv,15
